Date,?RU1,RU2,RU3,RU4,RU5,RU6,RU7,RU8,RU9,RU10,RU11,RU12,RU13
30/01/2008,5838.333333,6223.333333,7008.333333,5913.333333,6051.666667,6608.333333,6146.666667,5770,5946.666667,9830,10050,9890,10270
31/01/2008,5851.666667,6231.666667,7016.666667,5928.333333,6066.666667,6630,6163.333333,5786.666667,5955,9835,10050,9896.666667,10273.33333
01/02/2008,5877.5,6251.666667,7030,5946.666667,6085,6658.333333,6184.166667,5815,5976.666667,9841.666667,10053.33333,9905,10281.66667
02/02/2008,5903.333333,6271.666667,7043.333333,5965,6103.333333,6686.666667,6205,5843.333333,5998.333333,9848.333333,10056.66667,9913.333333,10290
03/02/2008,5929.166667,6291.666667,7056.666667,5983.333333,6121.666667,6715,6225.833333,5871.666667,6020,9855,10060,9921.666667,10298.33333
04/02/2008,5955,6311.666667,7070,6001.666667,6140,6743.333333,6246.666667,5900,6041.666667,9861.666667,10063.33333,9930,10306.66667
05/02/2008,5980.833333,6331.666667,7083.333333,6020,6158.333333,6771.666667,6267.5,5928.333333,6063.333333,9868.333333,10066.66667,9938.333333,10315
06/02/2008,6006.666667,6351.666667,7096.666667,6038.333333,6176.666667,6800,6288.333333,5956.666667,6085,9875,10070,9946.666667,10323.33333
07/02/2008,6032.5,6371.666667,7110,6056.666667,6195,6828.333333,6309.166667,5985,6106.666667,9881.666667,10073.33333,9955,10331.66667
08/02/2008,6065.833333,6406.666667,7130,6080,6216.666667,6873.333333,6339.166667,6018.333333,6141.666667,9905,10095,9966.666667,10356.66667
09/02/2008,6099.166667,6441.666667,7150,6103.333333,6238.333333,6918.333333,6369.166667,6051.666667,6176.666667,9928.333333,10116.66667,9978.333333,10381.66667
10/02/2008,6132.5,6476.666667,7170,6126.666667,6260,6963.333333,6399.166667,6085,6211.666667,9951.666667,10138.33333,9990,10406.66667
11/02/2008,6165.833333,6511.666667,7190,6150,6281.666667,7008.333333,6429.166667,6118.333333,6246.666667,9975,10160,10001.66667,10431.66667
12/02/2008,6199.166667,6546.666667,7210,6173.333333,6303.333333,7053.333333,6459.166667,6151.666667,6281.666667,9998.333333,10181.66667,10013.33333,10456.66667
13/02/2008,6232.5,6581.666667,7230,6196.666667,6325,7098.333333,6489.166667,6185,6316.666667,10021.66667,10203.33333,10025,10481.66667
14/02/2008,6265.833333,6616.666667,7250,6220,6346.666667,7143.333333,6519.166667,6218.333333,6351.666667,10045,10225,10036.66667,10506.66667
15/02/2008,6308.333333,6666.666667,7278.333333,6246.666667,6375,7198.333333,6552.5,6260,6396.666667,10070,10251.66667,10053.33333,10535
16/02/2008,6350.833333,6716.666667,7306.666667,6273.333333,6403.333333,7253.333333,6585.833333,6301.666667,6441.666667,10095,10278.33333,10070,10563.33333
17/02/2008,6385,6763.333333,7326.666667,6296.666667,6430,7290,6612.5,6333.333333,6480,10120,10305,10086.66667,10591.66667
18/02/2008,6419.166667,6810,7346.666667,6320,6456.666667,7326.666667,6639.166667,6365,6518.333333,10145,10331.66667,10103.33333,10620
19/02/2008,6453.333333,6856.666667,7366.666667,6343.333333,6483.333333,7363.333333,6665.833333,6396.666667,6556.666667,10170,10358.33333,10120,10648.33333
20/02/2008,6487.5,6903.333333,7386.666667,6366.666667,6510,7400,6692.5,6428.333333,6595,10195,10385,10136.66667,10676.66667
21/02/2008,6521.666667,6950,7406.666667,6390,6536.666667,7436.666667,6719.166667,6460,6633.333333,10220,10411.66667,10153.33333,10705
22/02/2008,6564.166667,7000,7431.666667,6428.333333,6578.333333,7483.333333,6754.166667,6501.666667,6676.666667,10260,10451.66667,10175,10746.66667
23/02/2008,6606.666667,7050,7456.666667,6466.666667,6620,7530,6789.166667,6543.333333,6720,10300,10491.66667,10196.66667,10788.33333
24/02/2008,6644.166667,7095,7481.666667,6493.333333,6648.333333,7573.333333,6814.166667,6578.333333,6761.666667,10335,10531.66667,10211.66667,10826.66667
25/02/2008,6681.666667,7140,7506.666667,6520,6676.666667,7616.666667,6839.166667,6613.333333,6803.333333,10370,10571.66667,10226.66667,10865
26/02/2008,6719.166667,7185,7531.666667,6546.666667,6705,7660,6864.166667,6648.333333,6845,10405,10611.66667,10241.66667,10903.33333
27/02/2008,6756.666667,7230,7556.666667,6573.333333,6733.333333,7703.333333,6889.166667,6683.333333,6886.666667,10440,10651.66667,10256.66667,10941.66667
28/02/2008,6794.166667,7275,7581.666667,6600,6761.666667,7746.666667,6914.166667,6718.333333,6928.333333,10475,10691.66667,10271.66667,10980
29/02/2008,6846.666667,7335,7620,6636.666667,6806.666667,7803.333333,6952.5,6770,6983.333333,10543.33333,10765,10303.33333,11051.66667
01/03/2008,6899.166667,7395,7658.333333,6673.333333,6851.666667,7860,6990.833333,6821.666667,7038.333333,10611.66667,10838.33333,10335,11123.33333
02/03/2008,6939.166667,7443.333333,7691.666667,6706.666667,6893.333333,7910,7025,6861.666667,7080,10678.33333,10908.33333,10365,11190
03/03/2008,6979.166667,7491.666667,7725,6740,6935,7960,7059.166667,6901.666667,7121.666667,10745,10978.33333,10395,11256.66667
04/03/2008,7019.166667,7540,7758.333333,6773.333333,6976.666667,8010,7093.333333,6941.666667,7163.333333,10811.66667,11048.33333,10425,11323.33333
05/03/2008,7059.166667,7588.333333,7791.666667,6806.666667,7018.333333,8060,7127.5,6981.666667,7205,10878.33333,11118.33333,10455,11390
06/03/2008,7099.166667,7636.666667,7825,6840,7060,8110,7161.666667,7021.666667,7246.666667,10945,11188.33333,10485,11456.66667
07/03/2008,7145.833333,7693.333333,7868.333333,6886.666667,7115,8166.666667,7202.5,7068.333333,7293.333333,11016.66667,11258.33333,10523.33333,11531.66667
08/03/2008,7192.5,7750,7911.666667,6933.333333,7170,8223.333333,7243.333333,7115,7340,11088.33333,11328.33333,10561.66667,11606.66667
09/03/2008,7231.666667,7791.666667,7948.333333,6975,7221.666667,8263.333333,7275,7156.666667,7373.333333,11143.33333,11380,10596.66667,11665
10/03/2008,7270.833333,7833.333333,7985,7016.666667,7273.333333,8303.333333,7306.666667,7198.333333,7406.666667,11198.33333,11431.66667,10631.66667,11723.33333
11/03/2008,7310,7875,8021.666667,7058.333333,7325,8343.333333,7338.333333,7240,7440,11253.33333,11483.33333,10666.66667,11781.66667
12/03/2008,7349.166667,7916.666667,8058.333333,7100,7376.666667,8383.333333,7370,7281.666667,7473.333333,11308.33333,11535,10701.66667,11840
13/03/2008,7388.333333,7958.333333,8095,7141.666667,7428.333333,8423.333333,7401.666667,7323.333333,7506.666667,11363.33333,11586.66667,10736.66667,11898.33333
14/03/2008,7430.833333,8010,8140,7200,7493.333333,8480,7436.666667,7368.333333,7545,11430,11646.66667,10793.33333,11973.33333
15/03/2008,7473.333333,8061.666667,8185,7258.333333,7558.333333,8536.666667,7471.666667,7413.333333,7583.333333,11496.66667,11706.66667,10850,12048.33333
16/03/2008,7506.666667,8098.333333,8221.666667,7313.333333,7616.666667,8583.333333,7503.333333,7450,7611.666667,11561.66667,11761.66667,10901.66667,12120
17/03/2008,7540,8135,8258.333333,7368.333333,7675,8630,7535,7486.666667,7640,11626.66667,11816.66667,10953.33333,12191.66667
18/03/2008,7573.333333,8171.666667,8295,7423.333333,7733.333333,8676.666667,7566.666667,7523.333333,7668.333333,11691.66667,11871.66667,11005,12263.33333
19/03/2008,7606.666667,8208.333333,8331.666667,7478.333333,7791.666667,8723.333333,7598.333333,7560,7696.666667,11756.66667,11926.66667,11056.66667,12335
