国家,美国,美国,美国,美国,美国
指标名称,期货收盘价(连续):NYMEX 11号糖,期货收盘价(活跃合约):NYMEX 11号糖,期货收盘价(连续):NYBOT 11号糖,期货收盘价(活跃合约):NYBOT 11号糖,期货结算价(活跃合约):NYBOT 11号糖
频率,日,日,日,日,日
单位,美元/磅,美元/磅,美分/磅,美分/磅,美分/磅
指标ID,S0147001,S0180930,S0069683,S0180921,S0180963
起始时间,2006-12-21,2011-08-31,2004-01-05,2005-08-04,2005-08-04
结束时间,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10
来源,NYMEX,NYMEX,NYBOT,NYBOT,NYBOT
更新时间,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11
2004-01-05,0.00,0.00,5.70,0.00,0.00
2004-01-06,0.00,0.00,5.85,0.00,0.00
2004-01-07,0.00,0.00,5.94,0.00,0.00
2004-01-08,0.00,0.00,5.76,0.00,0.00
2004-01-09,0.00,0.00,5.93,0.00,0.00
2004-01-12,0.00,0.00,5.97,0.00,0.00
2004-01-13,0.00,0.00,5.98,0.00,0.00
2004-01-14,0.00,0.00,5.85,0.00,0.00
2004-01-15,0.00,0.00,5.73,0.00,0.00
2004-01-16,0.00,0.00,5.79,0.00,0.00
2004-01-20,0.00,0.00,5.81,0.00,0.00
2004-01-21,0.00,0.00,5.80,0.00,0.00
2004-01-22,0.00,0.00,5.84,0.00,0.00
2004-01-23,0.00,0.00,5.77,0.00,0.00
2004-01-26,0.00,0.00,5.77,0.00,0.00
2004-01-27,0.00,0.00,5.75,0.00,0.00
2004-01-28,0.00,0.00,5.87,0.00,0.00
2004-01-29,0.00,0.00,5.87,0.00,0.00
2004-01-30,0.00,0.00,5.86,0.00,0.00
2004-02-02,0.00,0.00,5.72,0.00,0.00
2004-02-03,0.00,0.00,5.75,0.00,0.00
2004-02-04,0.00,0.00,5.68,0.00,0.00
2004-02-05,0.00,0.00,5.58,0.00,0.00
2004-02-06,0.00,0.00,5.45,0.00,0.00
2004-02-09,0.00,0.00,5.36,0.00,0.00
2004-02-10,0.00,0.00,5.44,0.00,0.00
2004-02-11,0.00,0.00,5.40,0.00,0.00
2004-02-12,0.00,0.00,5.40,0.00,0.00
2004-02-13,0.00,0.00,5.48,0.00,0.00
2004-02-17,0.00,0.00,5.58,0.00,0.00
2004-02-18,0.00,0.00,5.60,0.00,0.00
2004-02-19,0.00,0.00,5.52,0.00,0.00
2004-02-20,0.00,0.00,5.64,0.00,0.00
2004-02-23,0.00,0.00,5.72,0.00,0.00
2004-02-24,0.00,0.00,5.76,0.00,0.00
2004-02-25,0.00,0.00,5.84,0.00,0.00
2004-02-26,0.00,0.00,6.02,0.00,0.00
2004-02-27,0.00,0.00,6.03,0.00,0.00
2004-03-01,0.00,0.00,6.24,0.00,0.00
2004-03-02,0.00,0.00,6.16,0.00,0.00
2004-03-03,0.00,0.00,6.06,0.00,0.00
2004-03-04,0.00,0.00,6.13,0.00,0.00
