国家	美国	美国	美国	美国	美国
指标名称	期货收盘价(连续):CME三级牛奶	期货收盘价(活跃合约):CME三级牛奶	期货收盘价(连续):CME饲牛	期货收盘价(活跃合约):CME饲牛	期货结算价(连续):CME活牛
频率	日	日	日	日	日
单位	美元/英担	美元/英担	美元/磅	美元/磅	美分/磅
指标ID	S0146997	S0180898	S0146998	S0180902	S0069690
起始时间	2010/12/6	2010/12/7	2010/12/6	2010/12/16	2010/11/19
结束时间	2019/5/10	2019/5/10	2019/5/10	2019/5/10	2019/5/10
来源	CME	CME	CME	CME	CME
更新时间	2019/5/11	2019/5/11	2019/5/11	2019/5/11	2019/5/11
2010/11/19	0	0	0	0	101.45
2010/11/22	0	0	0	0	100.92
2010/11/23	0	0	0	0	101.55
2010/11/24	0	0	0	0	101.92
2010/11/26	0	0	0	0	102.22
2010/11/29	0	0	0	0	102.03
2010/11/30	0	0	0	0	103.08
2010/12/1	0	0	0	0	103.58
2010/12/2	0	0	0	0	103.08
2010/12/3	0	0	0	0	103.17
2010/12/6	13.86	0	118.4	0	103.38
2010/12/7	13.84	13.84	117.09	0	102.28
2010/12/8	13.83	13.83	117.8	0	102.1
2010/12/9	13.78	13.78	118.05	0	101.8
2010/12/10	13.8	13.8	118.15	0	100.95
2010/12/13	13.82	13.82	119	0	101.95
2010/12/14	13.78	13.78	117.85	0	101.83
2010/12/15	13.78	13.78	117.62	0	101.6
2010/12/16	13.78	13.78	118.6	119.4	101.2
2010/12/17	13.73	0	119.05	0	102.17
2010/12/20	13.74	0	120.47	0	102.78
2010/12/21	13.74	0	121.28	0	102.85
2010/12/22	13.73	0	121.75	123.8	104.12
2010/12/23	13.8	0	121.6	123.7	104
2010/12/27	13.82	0	120.8	0	104.9
2010/12/28	13.84	0	120.62	0	105.45
2010/12/29	13.86	0	121.75	0	106.33
2010/12/30	13.27	0	120.95	0	107
2010/12/31	13.22	0	121.9	0	107.8
2011/1/3	13.2	0	121.05	122.9	106.97
2011/1/4	13.16	0	121.08	0	106.17
2011/1/5	13.21	0	121.22	0	106.62
2011/1/6	13.2	0	121.95	0	106.72
2011/1/7	13.31	0	121.7	0	106.38
2011/1/10	13.33	0	122.45	0	106.95
2011/1/11	13.46	0	123.78	0	108.45
2011/1/12	13.54	13.54	124.15	126.33	110.2
2011/1/13	13.54	13.54	124.72	0	109.9
2011/1/14	13.51	13.51	125.88	0	109.38
2011/1/18	13.51	13.51	127.3	0	109.2
2011/1/19	13.45	13.45	126.55	0	108.8
2011/1/20	13.49	15.43	126.3	0	108.65
2011/1/21	13.5	0	126.47	0	107.95
2011/1/24	13.53	0	126	0	106.78
2011/1/25	13.53	0	126.1	0	106.25
2011/1/26	13.53	16.45	126.45	0	107.22
2011/1/27	13.52	16.42	126.12	0	106.95
2011/1/28	13.51	0	126.72	0	107.5
2011/1/31	13.49	0	127.94	0	108.95
