国家,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,英国,英国,英国,英国,英国,英国,英国,英国,英国,英国,英国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国
指标名称,期货收盘价(活跃合约):沥青,期货结算价(活跃合约):沥青,期货收盘价(连续):沥青,期货结算价(连续):沥青,期货收盘价(连三):沥青,期货成交量:沥青,期货成交额:沥青,期货收盘价(活跃合约):燃料油,期货收盘价(连续):燃料油,期货结算价(连续):燃料油,期货结算价(活跃合约):燃料油,期货成交量:燃料油,期货成交额:燃料油,期货成交量(活跃合约):燃料油,期货收盘价(活跃合约):INE原油,期货收盘价(连续):INE原油,期货结算价(活跃合约):INE原油,期货结算价(连续):INE原油,期货成交量(活跃合约):INE原油,期货成交量:INE原油,期货成交额:INE原油,期货结算价(连续):布伦特原油,(停止)布伦特DTD:原油现货价,期货收盘价(连续):IPE轻质原油,期货结算价(连续):IPE轻质原油,期货收盘价(活跃合约):IPE轻质原油,期货结算价(活跃合约):IPE轻质原油,期货结算价(连续):IPE理查德湾煤炭,期货收盘价(连续):IPE理查德湾煤炭,期货结算价(连续):IPE鹿特丹煤炭,期货收盘价(连续):IPE鹿特丹煤炭,期货收盘价(连续):IPE布油,期货结算价(连续):WTI原油,期货收盘价(连续):NYMEX轻质原油,期货收盘价(连续):NYMEX迷你轻质原油,期货收盘价(活跃合约):NYMEX轻质原油,期货收盘价(活跃合约):NYMEX迷你轻质原油,期货结算价(活跃合约):NYMEX轻质原油,期货结算价(活跃合约):NYMEX迷你轻质原油,期货收盘价(连续):NYMEX布油金融,期货收盘价(活跃合约):NYMEX布油金融,期货结算价(活跃合约):NYMEX布油金融,期货结算价(连续):NYMEX汽油,期货收盘价(连续):NYMEX RBOB汽油,期货收盘价(活跃合约):NYMEX RBOB汽油,期货结算价(活跃合约):NYMEX RBOB汽油,期货收盘价(连续):NYMEX天然气
频率,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日
单位,元/吨,元/吨,元/吨,元/吨,元/吨,手,万元,元/吨,元/吨,元/吨,元/吨,手,万元,手,元/桶,元/桶,元/桶,元/桶,手,手,万元,美元/桶,美元/桶,美元/桶,美元/桶,美元/桶,美元/桶,美元/吨,美元/吨,美元/吨,美元/吨,美元/桶,美元/桶,美元/桶,美元/桶,美元/桶,美元/桶,美元/桶,美元/桶,美元/桶,美元/桶,美元/桶,美分/加仑,美元/加仑,美元/加仑,美元/加仑,美元/百万英热单位
指标ID,S0182150,S0182151,S0182152,S0182153,S0182154,S0182155,S0182156,M0066360,S0031870,S0068130,S0181387,M0086418,M0086419,M0096583,M0330182,S0265091,M0330183,S0265092,M0330184,M0330179,M0330181,S0031525,S0031531,S0180565,S0180566,S0180925,S0180967,S0202716,S0202717,S0202718,S0202719,S0202720,M0000005,S0147004,S0147003,S0180896,S0180915,S0180938,S0180957,S0147005,S0180892,S0180934,S0069681,S0147002,S0180916,S0180958,S0069682
起始时间,2013-10-09,2013-10-09,2013-10-09,2013-10-09,2013-10-09,2013-10-09,2013-10-09,2004-08-25,2004-08-25,2004-08-25,2004-08-25,2004-08-25,2008-01-02,2004-08-25,2018-03-26,2018-03-26,2018-03-26,2018-03-26,2018-03-26,2018-03-26,2018-03-26,1988-06-23,2001-12-26,2010-11-19,2010-11-19,2010-11-22,2010-11-22,2008-11-25,2008-11-25,2008-11-25,2008-11-25,1988-06-23,1983-03-30,1986-07-01,2011-12-13,2011-12-21,2013-01-03,2011-12-21,2013-01-03,1988-06-23,2011-09-02,2011-09-02,2010-11-30,2005-10-03,2010-12-21,2010-12-21,1990-04-03
结束时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-10,2012-03-21,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10
来源,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,上海期货交易所,IPE,IPE,IPE,IPE,IPE,IPE,IPE,IPE,IPE,IPE,IPE,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX,NYMEX
更新时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2012-03-22,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-13,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11
1983-03-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983-03-31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983-04-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983-04-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983-04-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983-04-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983-04-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983-04-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983-04-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
