国家,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,美国,美国,美国,美国
指标名称,期货收盘价(活跃合约):棉花,期货收盘价(连续):棉花,期货结算价(连续):棉花,期货结算价(活跃合约):棉花,期货成交量:棉花,期货成交额:棉花,期货成交量(活跃合约):棉花,期货收盘价(连续):棉纱,期货收盘价(活跃合约):棉纱,期货结算价(连续):棉纱,期货结算价(活跃合约):棉纱,期货成交量(活跃合约):棉纱,期货成交额:棉纱,期货成交量:棉纱,期货结算价(连续):NYMEX棉花,期货收盘价(连续):NYBOT 2号棉花,期货收盘价(活跃合约):NYBOT 2号棉花,期货结算价(活跃合约):NYBOT 2号棉花
频率,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日
单位,元/吨,元/吨,元/吨,元/吨,手,万元,手,元/吨,元/吨,元/吨,元/吨,手,万元,手,美分/磅,美分/磅,美分/磅,美分/磅
指标ID,M0066361,S0031871,S0068131,S0181384,M0086463,M0086464,M0096588,M0329653,M0329652,M0329649,M0329650,M0329648,M0329646,M0329647,S0069684,S0147000,S0180897,S0180939
起始时间,2004-06-01,2004-06-01,2004-06-01,2004-06-01,2004-06-01,2004-06-01,2004-06-01,2017-08-21,2017-08-18,2017-08-21,2017-08-18,2017-08-18,2017-08-18,2017-08-18,2009-07-31,2004-01-05,2007-04-16,2007-04-16
结束时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-10,2019-05-10,2019-05-10,2019-05-10
来源,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,NYMEX,NYBOT,NYBOT,NYBOT
更新时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-11,2019-05-11,2019-05-11,2019-05-11
2004-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.80,0.00,0.00
2004-01-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.67,0.00,0.00
2004-01-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.04,0.00,0.00
2004-01-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.13,0.00,0.00
2004-01-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.17,0.00,0.00
2004-01-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.26,0.00,0.00
2004-01-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.31,0.00,0.00
2004-01-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.57,0.00,0.00
2004-01-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.49,0.00,0.00
2004-01-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.72,0.00,0.00
2004-01-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.27,0.00,0.00
2004-01-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.66,0.00,0.00
2004-01-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.82,0.00,0.00
2004-01-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.94,0.00,0.00
2004-01-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.64,0.00,0.00
2004-01-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.76,0.00,0.00
2004-01-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.76,0.00,0.00
2004-01-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.66,0.00,0.00
2004-01-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.73,0.00,0.00
2004-02-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.64,0.00,0.00
2004-02-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.90,0.00,0.00
2004-02-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.25,0.00,0.00
2004-02-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.50,0.00,0.00
2004-02-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.07,0.00,0.00
2004-02-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.96,0.00,0.00
2004-02-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.96,0.00,0.00
2004-02-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.94,0.00,0.00
2004-02-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.42,0.00,0.00
2004-02-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.35,0.00,0.00
2004-02-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.20,0.00,0.00
2004-02-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.40,0.00,0.00
2004-02-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.89,0.00,0.00
2004-02-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.69,0.00,0.00
2004-02-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.70,0.00,0.00
2004-02-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,0.00,0.00
2004-02-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.10,0.00,0.00
2004-02-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.50,0.00,0.00
2004-02-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.10,0.00,0.00
2004-03-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.75,0.00,0.00
2004-03-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.90,0.00,0.00
2004-03-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.50,0.00,0.00
2004-03-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.60,0.00,0.00
2004-03-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,0.00
2004-03-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.75,0.00,0.00
2004-03-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.85,0.00,0.00
2004-03-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.63,0.00,0.00
2004-03-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.93,0.00,0.00
2004-03-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.62,0.00,0.00
2004-03-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.43,0.00,0.00
2004-03-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.79,0.00,0.00
2004-03-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.10,0.00,0.00
2004-03-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.75,0.00,0.00
2004-03-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.92,0.00,0.00
