国家,中国,中国,中国,中国,中国,中国,中国,美国,美国,美国,美国,美国,美国
指标名称,期货收盘价(活跃合约):黄玉米,期货收盘价(连续):黄玉米,期货结算价(连续):黄玉米,期货结算价(活跃合约):黄玉米,期货成交量:黄玉米,期货成交额:黄玉米,期货成交量(活跃合约):黄玉米,期货收盘价(连续):CBOT玉米,期货收盘价(连续):CBOT迷你玉米,期货收盘价(活跃合约):CBOT玉米,期货收盘价(活跃合约):CBOT迷你玉米,期货结算价(活跃合约):CBOT玉米,期货结算价(活跃合约):CBOT迷你玉米
频率,日,日,日,日,日,日,日,日,日,日,日,日,日
单位,元/吨,元/吨,元/吨,元/吨,手,万元,手,美分/蒲式耳,美分/蒲式耳,美分/蒲式耳,美分/蒲式耳,美分/蒲式耳,美分/蒲式耳
指标ID,M0066350,S0031876,S0068134,S0181377,M0086430,M0086431,M0096570,S0069674,S0146996,S0180893,S0180928,S0180935,S0180970
起始时间,2004-09-22,2004-09-22,2004-09-22,2004-09-22,2004-09-22,2004-09-22,2004-09-22,1960-01-04,2009-06-08,2011-09-02,2011-09-02,2011-09-02,2011-09-02
结束时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10
来源,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT
更新时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11
1960-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.00,0.00,0.00,0.00,0.00,0.00
1960-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.00,0.00,0.00,0.00,0.00,0.00
1960-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.50,0.00,0.00,0.00,0.00,0.00
1960-01-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.88,0.00,0.00,0.00,0.00,0.00
1960-01-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.38,0.00,0.00,0.00,0.00,0.00
1960-01-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.00,0.00,0.00,0.00,0.00,0.00
1960-01-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.25,0.00,0.00,0.00,0.00,0.00
