国家,中国,中国,中国,中国,中国,中国,中国,中国
指标名称,期货成交量(活跃合约):玉米淀粉,期货持仓量(活跃合约):玉米淀粉,期货结算价(活跃合约):玉米淀粉,期货收盘价(活跃合约):玉米淀粉,期货结算价(连续):玉米淀粉,期货收盘价(连续):玉米淀粉,期货成交额:玉米淀粉,期货成交量:玉米淀粉
频率,日,日,日,日,日,日,日,日
单位,手,手,元/吨,元/吨,元/吨,元/吨,万元,手
指标ID,S0212347,S0212348,S0212349,S0212350,S0212351,S0212352,S0212356,S0212357
起始时间,2014-12-19,2014-12-19,2014-12-19,2014-12-19,2014-12-19,2014-12-19,2014-12-19,2014-12-19
结束时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13
来源,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所
更新时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13
2014-12-19,"29,124.00","4,928.00","2,806.00","2,793.00","2,751.00","2,730.00","96,414.36","34,242.00"
2014-12-22,"26,170.00","8,132.00","2,755.00","2,738.00","2,688.00","2,686.00","80,687.83","29,196.00"
2014-12-23,"18,726.00","8,664.00","2,745.00","2,740.00","2,668.00","2,668.00","53,426.51","19,436.00"
2014-12-24,"8,284.00","7,722.00","2,752.00","2,752.00","2,644.00","2,640.00","24,380.10","8,844.00"
2014-12-25,"20,260.00","8,792.00","2,724.00","2,727.00","2,613.00","2,631.00","57,331.26","21,022.00"
2014-12-26,"9,158.00","9,116.00","2,726.00","2,721.00","2,630.00","2,630.00","25,977.10","9,518.00"
2014-12-29,"5,406.00","8,528.00","2,729.00","2,731.00","2,622.00","2,618.00","17,106.02","6,240.00"
2014-12-30,"9,056.00","8,196.00","2,721.00","2,721.00","2,615.00","2,617.00","26,513.37","9,718.00"
2014-12-31,"5,280.00","7,520.00","2,718.00","2,713.00","2,622.00","2,615.00","15,535.89","5,700.00"
2015-01-05,"13,408.00","9,790.00","2,691.00","2,684.00","2,610.00","2,613.00","40,091.51","14,824.00"
2015-01-06,"28,882.00","14,276.00","2,652.00","2,630.00","2,586.00","2,588.00","83,608.67","31,376.00"
2015-01-07,"16,506.00","12,144.00","2,639.00","2,643.00","2,606.00","2,585.00","45,868.40","17,328.00"
2015-01-08,"10,858.00","12,230.00","2,648.00","2,652.00","2,606.00","2,606.00","30,793.54","11,584.00"
2015-01-09,"12,278.00","12,758.00","2,648.00","2,648.00","2,595.00","2,605.00","34,953.47","13,146.00"
2015-01-12,"8,452.00","12,546.00","2,653.00","2,658.00","2,595.00","2,595.00","23,917.43","8,982.00"
2015-01-13,"10,230.00","13,294.00","2,646.00","2,658.00","2,595.00","2,595.00","30,559.42","11,472.00"
2015-01-14,"8,676.00","12,464.00","2,654.00","2,647.00","2,588.00","2,581.00","24,825.13","9,316.00"
2015-01-15,"7,404.00","12,536.00","2,654.00","2,662.00","2,557.00","2,588.00","20,572.81","7,732.00"
2015-01-16,"11,940.00","12,184.00","2,675.00","2,684.00","2,561.00","2,561.00","34,962.37","13,004.00"
2015-01-19,"9,284.00","10,964.00","2,700.00","2,701.00","2,632.00","2,610.00","26,807.42","9,894.00"
2015-01-20,"4,142.00","11,160.00","2,700.00","2,702.00","2,595.00","2,590.00","11,913.25","4,398.00"
2015-01-21,"7,186.00","10,840.00","2,712.00","2,711.00","2,574.00","2,626.00","22,286.52","8,160.00"
2015-01-22,"10,236.00","11,980.00","2,687.00","2,694.00","2,574.00","2,574.00","31,287.85","11,558.00"
2015-01-23,"4,912.00","12,616.00","2,691.00","2,686.00","2,580.00","2,580.00","15,057.42","5,552.00"
2015-01-26,"5,054.00","12,394.00","2,690.00","2,694.00","2,580.00","2,580.00","16,501.73","6,062.00"
2015-01-27,"12,686.00","11,850.00","2,724.00","2,728.00","2,619.00","2,640.00","40,668.46","14,778.00"
2015-01-28,"13,162.00","12,770.00","2,737.00","2,759.00","2,668.00","2,673.00","40,859.90","14,812.00"
2015-01-29,"23,132.00","13,520.00","2,784.00","2,780.00","2,726.00","2,726.00","68,387.49","24,484.00"
2015-01-30,"14,918.00","13,628.00","2,782.00","2,778.00","2,726.00","2,726.00","44,132.17","15,810.00"
2015-02-02,"11,744.00","13,480.00","2,785.00","2,796.00","2,726.00","2,726.00","35,502.92","12,692.00"
2015-02-03,"9,956.00","13,972.00","2,795.00","2,792.00","2,726.00","2,726.00","30,303.77","10,792.00"
2015-02-04,"11,042.00","14,220.00","2,800.00","2,797.00","2,726.00","2,726.00","36,081.27","12,782.00"
2015-02-05,"55,740.00","17,990.00","2,830.00","2,814.00","2,740.00","2,699.00","178,884.76","62,786.00"
2015-02-06,"13,580.00","16,914.00","2,827.00","2,839.00","2,740.00","2,740.00","46,587.16","16,310.00"
2015-02-09,"42,018.00","22,138.00","2,857.00","2,862.00","2,740.00","2,740.00","133,761.48","46,556.00"
2015-02-10,"35,920.00","24,250.00","2,868.00","2,879.00","2,715.00","2,756.00","126,466.82","43,636.00"
2015-02-11,"21,656.00","23,082.00","2,868.00","2,862.00","2,715.00","2,715.00","82,801.56","28,432.00"
2015-02-12,"30,088.00","20,088.00","2,845.00","2,840.00","2,780.00","2,780.00","111,965.50","38,792.00"
2015-02-13,"21,888.00","19,640.00","2,854.00","2,856.00","2,780.00","2,780.00","87,740.32","30,182.00"
2015-02-16,"8,348.00","18,306.00","2,852.00","2,858.00","2,724.00","2,683.00","35,068.92","12,040.00"
2015-02-17,"13,600.00","16,602.00","2,831.00","2,825.00","2,568.00","2,573.00","48,529.94","16,920.00"
2015-02-25,"10,708.00","16,506.00","2,820.00","2,810.00","2,580.00","2,580.00","41,898.73","14,578.00"
2015-02-26,"14,028.00","17,270.00","2,821.00","2,828.00","2,580.00","2,580.00","72,054.52","24,866.00"
2015-02-27,"16,064.00","18,682.00","2,849.00","2,856.00","2,665.00","2,683.00","63,402.79","21,912.00"
2015-03-02,"9,402.00","18,874.00","2,864.00","2,861.00","2,763.00","2,800.00","39,950.39","13,716.00"
2015-03-03,"11,430.00","16,686.00","2,835.00","2,842.00","2,763.00","2,763.00","53,537.90","18,450.00"
2015-03-04,"19,288.00","20,064.00","2,862.00","2,871.00","2,763.00","2,763.00","82,325.17","28,214.00"
2015-03-05,"18,946.00","17,514.00","2,858.00","2,848.00","2,763.00","2,763.00","80,351.44","27,576.00"
2015-03-06,"10,942.00","15,954.00","2,844.00","2,838.00","2,763.00","2,763.00","48,954.64","16,852.00"
2015-03-09,"17,332.00","18,218.00","2,850.00","2,863.00","2,763.00","2,763.00","73,230.24","25,228.00"
2015-03-10,"97,354.00","40,330.00","2,902.00","2,914.00","2,820.00","2,820.00","328,386.04","112,392.00"
2015-03-11,"121,256.00","48,316.00","2,953.00","2,959.00","2,820.00","2,820.00","429,857.72","144,634.00"
2015-03-12,"66,786.00","46,238.00","2,946.00","2,957.00","2,812.00","2,815.00","227,719.76","76,974.00"
2015-03-13,"77,968.00","48,800.00","2,972.00","2,973.00","2,806.00","2,806.00","293,818.75","98,260.00"
2015-03-16,"98,416.00","52,990.00","2,986.00","2,988.00","2,986.00","2,988.00","359,917.59","119,990.00"
2015-03-17,"38,734.00","53,352.00","2,987.00","2,993.00","2,987.00","2,993.00","142,984.33","47,612.00"
2015-03-18,"48,746.00","43,062.00","2,971.00","2,960.00","2,971.00","2,960.00","200,376.69","66,954.00"
2015-03-19,"36,680.00","39,252.00","2,954.00","2,952.00","2,954.00","2,952.00","177,052.37","59,418.00"
2015-03-20,"47,472.00","39,014.00","2,970.00","2,963.00","2,970.00","2,963.00","197,731.92","66,268.00"
2015-03-23,"18,256.00","37,638.00","2,973.00","2,975.00","2,973.00","2,975.00","94,973.21","31,636.00"
2015-03-24,"72,272.00","41,254.00","3,024.00","3,036.00","3,024.00","3,036.00","317,162.52","104,356.00"
2015-03-25,"36,818.00","39,576.00","3,028.00","3,025.00","3,028.00","3,025.00","207,571.50","67,996.00"
2015-03-26,"25,556.00","41,702.00","3,032.00","3,037.00","3,032.00","3,037.00","123,415.94","40,552.00"
2015-03-27,"86,776.00","43,870.00","3,062.00","3,073.00","3,062.00","3,073.00","394,203.15","128,430.00"
2015-03-30,"27,382.00","45,362.00","3,069.00","3,080.00","3,069.00","3,080.00","167,593.38","54,596.00"
2015-03-31,"33,536.00","44,528.00","3,078.00","3,071.00","3,078.00","3,071.00","167,395.81","54,558.00"
2015-04-01,"63,596.00","30,346.00","3,010.00","3,010.00","3,010.00","3,010.00","338,228.34","112,358.00"
2015-04-02,"21,272.00","28,582.00","3,006.00","3,000.00","3,006.00","3,000.00","138,466.56","46,114.00"
2015-04-03,"20,966.00","30,572.00","3,004.00","3,009.00","2,991.00","3,003.00","110,194.18","36,752.00"
2015-04-07,"24,478.00","30,830.00","2,996.00","3,000.00","2,997.00","2,998.00","95,914.91","32,034.00"
2015-04-08,"63,290.00","37,294.00","2,977.00","2,964.00","2,966.00","2,961.00","252,871.74","85,046.00"
2015-04-09,"32,340.00","39,404.00","2,960.00","2,963.00","2,954.00","2,951.00","113,746.55","38,456.00"
2015-04-10,"44,112.00","34,322.00","2,979.00","2,997.00","2,941.00","2,948.00","153,230.28","51,554.00"
2015-04-13,"76,314.00","38,024.00","3,020.00","3,032.00","2,939.00","2,933.00","250,538.35","83,204.00"
2015-04-14,"45,220.00","35,440.00","3,010.00","2,998.00","2,923.00","2,920.00","146,245.12","48,702.00"
2015-04-15,"88,170.00","36,824.00","2,946.00","2,936.00","2,879.00","2,885.00","274,590.91","93,318.00"
2015-04-16,"37,092.00","35,880.00","2,943.00","2,942.00","2,876.00","2,876.00","115,272.49","39,216.00"
2015-04-17,"33,852.00","33,326.00","2,957.00","2,968.00","2,877.00","2,884.00","104,735.73","35,464.00"
2015-04-20,"31,106.00","33,046.00","2,952.00","2,948.00","2,881.00","2,889.00","93,666.28","31,742.00"
2015-04-21,"31,260.00","33,506.00","2,944.00","2,946.00","2,901.00","2,897.00","94,945.89","32,268.00"
2015-04-22,"20,688.00","32,608.00","2,954.00","2,956.00","2,909.00","2,918.00","63,080.00","21,374.00"
2015-04-23,"21,454.00","33,134.00","2,961.00","2,956.00","2,908.00","2,915.00","64,751.98","21,884.00"
2015-04-24,"42,390.00","33,994.00","2,941.00","2,953.00","2,905.00","2,901.00","126,642.48","43,088.00"
2015-04-27,"14,366.00","34,494.00","2,949.00","2,951.00","2,902.00","2,901.00","44,253.81","15,028.00"
2015-04-28,"45,442.00","33,776.00","2,964.00","2,952.00","2,906.00","2,904.00","138,077.26","46,638.00"
2015-04-29,"25,622.00","33,128.00","2,942.00","2,947.00","2,892.00","2,894.00","77,203.43","26,274.00"
2015-04-30,"28,902.00","33,998.00","2,965.00","2,975.00","2,894.00","2,893.00","88,039.27","29,722.00"
2015-05-04,"47,982.00","35,870.00","3,000.00","2,995.00","2,852.00","2,850.00","147,767.92","49,340.00"
2015-05-05,"21,168.00","33,638.00","2,991.00","2,998.00","2,852.00","2,852.00","64,722.01","21,674.00"
2015-05-06,"15,402.00","31,018.00","2,994.00","2,997.00","2,852.00","2,852.00","47,381.45","15,858.00"
2015-05-07,"67,812.00","32,020.00","3,015.00","3,009.00","2,852.00","2,852.00","207,423.35","68,884.00"
2015-05-08,"23,924.00","29,482.00","2,996.00","2,995.00","2,852.00","2,852.00","73,217.12","24,478.00"
2015-05-11,"17,034.00","28,848.00","2,995.00","2,992.00","2,872.00","2,855.00","52,521.12","17,570.00"
2015-05-12,"18,532.00","29,836.00","2,998.00","3,009.00","2,853.00","2,853.00","56,881.61","19,006.00"
2015-05-13,"22,320.00","31,118.00","3,016.00","3,016.00","2,853.00","2,853.00","69,187.84","22,996.00"
2015-05-14,"25,634.00","30,264.00","3,016.00","3,025.00","2,900.00","2,900.00","78,221.04","25,954.00"
2015-05-15,"24,632.00","32,276.00","3,028.00","3,024.00","2,865.00","2,865.00","76,290.36","25,242.00"
2015-05-18,"13,512.00","30,044.00","3,014.00","3,013.00","2,919.00","2,919.00","41,811.09","13,904.00"
2015-05-19,"14,586.00","30,626.00","3,013.00","3,017.00","2,919.00","2,919.00","44,878.28","14,922.00"
2015-05-20,"27,680.00","29,426.00","3,007.00","3,008.00","2,919.00","2,919.00","84,879.66","28,272.00"
2015-05-21,"12,350.00","28,500.00","3,008.00","3,011.00","2,919.00","2,919.00","38,880.27","12,980.00"
2015-05-22,"14,832.00","27,560.00","3,004.00","3,004.00","2,919.00","2,919.00","45,777.78","15,278.00"
2015-05-25,"26,002.00","25,490.00","2,981.00","2,962.00","2,919.00","2,919.00","80,960.31","27,272.00"
2015-05-26,"31,174.00","25,056.00","2,956.00","2,933.00","2,919.00","2,919.00","95,658.94","32,466.00"
2015-05-27,"27,890.00","27,060.00","2,912.00","2,894.00","2,919.00","2,919.00","84,940.81","29,282.00"
2015-05-28,"24,832.00","26,330.00","2,905.00","2,911.00","2,919.00","2,919.00","73,721.07","25,418.00"
2015-05-29,"15,792.00","24,580.00","2,921.00","2,922.00","2,850.00","2,850.00","48,177.49","16,558.00"
2015-06-01,"11,798.00","24,782.00","2,936.00","2,931.00","2,850.00","2,850.00","35,963.25","12,290.00"
2015-06-02,"7,616.00","24,344.00","2,932.00","2,945.00","2,850.00","2,850.00","23,786.11","8,156.00"
2015-06-03,"10,942.00","24,230.00","2,931.00","2,925.00","2,850.00","2,850.00","33,538.86","11,488.00"
2015-06-04,"31,070.00","25,712.00","2,904.00","2,909.00","2,850.00","2,850.00","98,346.73","34,106.00"
2015-06-05,"15,198.00","27,738.00","2,890.00","2,874.00","2,850.00","2,850.00","47,116.91","16,402.00"
2015-06-08,"46,204.00","31,482.00","2,847.00","2,876.00","2,789.00","2,787.00","144,398.55","51,114.00"
2015-06-09,"12,972.00","31,802.00","2,877.00","2,879.00","2,789.00","2,789.00","41,741.16","14,644.00"
2015-06-10,"20,344.00","31,256.00","2,865.00","2,871.00","2,794.00","2,809.00","63,829.65","22,450.00"
2015-06-11,"11,806.00","30,198.00","2,878.00","2,880.00","2,794.00","2,794.00","37,162.15","13,012.00"
2015-06-12,"17,136.00","31,556.00","2,862.00","2,872.00","2,794.00","2,794.00","51,524.77","18,072.00"
2015-06-15,"24,688.00","37,170.00","2,835.00","2,836.00","2,750.00","2,757.00","72,562.00","25,658.00"
2015-06-16,"16,854.00","38,778.00","2,853.00","2,872.00","2,750.00","2,750.00","50,586.98","17,794.00"
2015-06-17,"12,160.00","37,970.00","2,874.00","2,871.00","2,750.00","2,750.00","37,132.74","12,978.00"
2015-06-18,"11,930.00","36,766.00","2,883.00","2,883.00","2,750.00","2,750.00","35,988.52","12,528.00"
2015-06-19,"9,794.00","35,658.00","2,876.00","2,877.00","2,750.00","2,750.00","29,437.24","10,272.00"
2015-06-23,"13,790.00","34,454.00","2,889.00","2,874.00","2,799.00","2,749.00","42,022.60","14,612.00"
2015-06-24,"18,352.00","33,156.00","2,863.00","2,872.00","2,799.00","2,799.00","55,433.30","19,446.00"
2015-06-25,"10,748.00","36,062.00","2,860.00","2,853.00","2,799.00","2,799.00","31,907.05","11,188.00"
2015-06-26,"12,668.00","33,246.00","2,855.00","2,862.00","2,799.00","2,799.00","37,598.54","13,208.00"
