国家,美国
指标名称,期货结算价(连续):CME精猪
频率,日
单位,美分/磅
指标ID,S0069689
起始时间,2010-11-19
结束时间,2019-05-10
来源,CME
更新时间,2019-05-11
2010-11-19,69.12
2010-11-22,69.40
2010-11-23,69.83
2010-11-24,70.38
2010-11-26,70.35
2010-11-29,70.03
2010-11-30,69.03
2010-12-01,68.53
2010-12-02,68.92
2010-12-03,69.28
2010-12-06,68.35
2010-12-07,68.05
2010-12-08,68.80
2010-12-09,69.42
2010-12-10,69.45
2010-12-13,69.53
2010-12-14,68.92
2010-12-15,79.22
2010-12-16,78.95
2010-12-17,80.47
2010-12-20,80.55
2010-12-21,80.40
2010-12-22,82.90
2010-12-23,82.78
2010-12-27,82.75
2010-12-28,82.50
2010-12-29,83.35
2010-12-30,82.92
2010-12-31,83.88
2011-01-03,82.55
2011-01-04,81.88
2011-01-05,82.17
2011-01-06,84.10
2011-01-07,84.05
2011-01-10,84.65
2011-01-11,85.15
2011-01-12,87.03
2011-01-13,86.30
2011-01-14,85.28
2011-01-18,86.72
2011-01-19,86.40
2011-01-20,86.75
2011-01-21,86.58
2011-01-24,86.25
2011-01-25,87.12
2011-01-26,90.12
2011-01-27,90.03
2011-01-28,91.62
2011-01-31,94.00
2011-02-01,93.15
2011-02-02,91.40
2011-02-03,91.55
2011-02-04,91.65
2011-02-07,91.83
2011-02-08,91.25
2011-02-09,91.25
2011-02-10,93.70
2011-02-11,92.38
2011-02-14,92.45
2011-02-15,92.55
2011-02-16,91.90
2011-02-17,92.17
2011-02-18,92.28
2011-02-22,92.28
2011-02-23,90.97
2011-02-24,89.50
2011-02-25,90.20
2011-02-28,88.80
2011-03-01,88.10
2011-03-02,88.25
2011-03-03,88.80
2011-03-04,88.47
2011-03-07,86.40
2011-03-08,89.12
2011-03-09,89.75
2011-03-10,89.85
2011-03-11,88.15
2011-03-14,85.95
2011-03-15,84.88
2011-03-16,85.30
2011-03-17,88.15
2011-03-18,88.33
2011-03-21,88.40
2011-03-22,89.70
2011-03-23,90.08
2011-03-24,90.33
2011-03-25,92.47
2011-03-28,92.60
2011-03-29,93.60
2011-03-30,93.55
2011-03-31,93.72
2011-04-01,94.22
2011-04-04,94.20
2011-04-05,93.70
2011-04-06,93.97
2011-04-07,92.75
2011-04-08,93.15
2011-04-11,93.25
2011-04-12,93.45
2011-04-13,93.95
2011-04-14,93.92
2011-04-15,102.42
2011-04-18,102.60
2011-04-19,103.03
2011-04-20,102.90
2011-04-21,102.05
2011-04-25,100.65
2011-04-26,98.62
2011-04-27,97.75
2011-04-28,96.80
2011-04-29,95.28
2011-05-02,95.65
2011-05-03,92.65
2011-05-04,90.60
2011-05-05,91.58
2011-05-06,93.35
2011-05-09,92.72
2011-05-10,92.05
2011-05-11,92.03
2011-05-12,91.95
2011-05-13,92.85
2011-05-16,93.60
2011-05-17,93.10
2011-05-18,91.65
2011-05-19,91.33
2011-05-20,91.97
2011-05-23,89.25
2011-05-24,87.45
2011-05-25,88.30
2011-05-26,87.80
2011-05-27,88.92
2011-05-31,90.17
2011-06-01,89.78
2011-06-02,89.08
2011-06-03,89.22
2011-06-06,89.70
2011-06-07,89.62
2011-06-08,89.70
2011-06-09,90.45
2011-06-10,91.70
2011-06-13,92.47
2011-06-14,91.85
2011-06-15,95.25
2011-06-16,94.88
2011-06-17,95.65
2011-06-20,97.55
2011-06-21,99.00
2011-06-22,98.28
2011-06-23,97.00
2011-06-24,96.00
2011-06-27,94.42
2011-06-28,94.38
2011-06-29,95.22
2011-06-30,94.40
2011-07-01,95.50
2011-07-05,95.78
2011-07-06,96.03
2011-07-07,96.88
2011-07-08,96.42
2011-07-11,96.12
2011-07-12,95.15
2011-07-13,95.60
2011-07-14,95.10
2011-07-15,95.15
2011-07-18,99.20
2011-07-19,99.65
2011-07-20,97.85
2011-07-21,98.35
2011-07-22,100.75
2011-07-25,100.72
2011-07-26,100.30
2011-07-27,101.92
2011-07-28,102.47
2011-07-29,101.92
2011-08-01,103.10
2011-08-02,103.80
2011-08-03,104.65
2011-08-04,105.55
2011-08-05,105.85
2011-08-09,105.40
2011-08-10,105.85
2011-08-11,107.25
2011-08-12,107.45
2011-08-15,89.97
2011-08-16,89.40
2011-08-17,87.40
2011-08-18,86.83
2011-08-19,88.38
2011-08-22,89.00
2011-08-23,88.22
2011-08-24,87.05
2011-08-25,87.22
2011-08-26,87.10
2011-08-29,86.40
2011-08-30,85.70
2011-08-31,85.50
2011-09-01,85.17
2011-09-02,85.80
2011-09-06,83.35
2011-09-07,84.85
2011-09-08,86.90
2011-09-09,87.25
2011-09-12,87.12
2011-09-13,87.47
2011-09-14,88.45
2011-09-15,89.00
2011-09-16,87.70
2011-09-19,88.10
2011-09-20,89.28
2011-09-21,89.28
2011-09-22,88.35
2011-09-23,88.42
2011-09-26,88.85
2011-09-27,88.62
2011-09-28,88.40
2011-09-29,90.38
2011-09-30,93.38
2011-10-03,93.12
2011-10-04,93.50
2011-10-05,93.67
2011-10-06,94.75
2011-10-07,94.67
2011-10-10,93.03
2011-10-11,92.12
2011-10-12,92.12
2011-10-13,93.00
2011-10-14,93.58
2011-10-17,90.70
2011-10-18,90.95
2011-10-19,90.08
2011-10-20,89.97
2011-10-21,89.65
2011-10-24,88.83
2011-10-25,87.85
2011-10-26,87.03
2011-10-27,86.65
2011-10-28,86.67
2011-10-31,87.47
2011-11-01,87.55
2011-11-02,86.88
2011-11-03,86.60
2011-11-04,86.85
2011-11-07,85.62
2011-11-08,85.22
2011-11-09,85.15
2011-11-10,85.75
2011-11-11,86.45
2011-11-14,86.58
2011-11-15,86.45
2011-11-16,85.55
2011-11-17,87.45
2011-11-18,87.47
2011-11-21,87.95
2011-11-22,87.83
2011-11-23,88.05
2011-11-25,88.30
2011-11-28,87.55
2011-11-29,88.00
2011-11-30,88.17
2011-12-01,87.58
2011-12-02,86.25
2011-12-05,85.30
2011-12-06,86.15
2011-12-07,86.00
2011-12-08,84.83
2011-12-09,85.40
2011-12-12,86.22
2011-12-13,85.80
2011-12-14,85.70
2011-12-15,85.42
2011-12-16,83.15
2011-12-19,84.35
2011-12-20,84.10
2011-12-22,84.55
2011-12-23,84.55
2011-12-27,85.75
2011-12-28,85.55
2011-12-29,83.97
2011-12-30,83.97
2012-01-04,85.17
2012-01-05,83.85
2012-01-06,83.85
2012-01-09,83.38
2012-01-10,84.30
2012-01-11,82.90
2012-01-12,83.95
2012-01-13,83.95
2012-01-17,85.78
2012-01-18,86.28
2012-01-19,86.28
2012-01-20,85.40
2012-01-23,86.47
2012-01-24,86.03
2012-01-25,86.62
2012-01-26,85.95
2012-01-27,85.95
2012-01-30,86.45
2012-01-31,87.53
2012-02-01,87.62
2012-02-02,87.58
2012-02-03,87.58
2012-02-06,87.12
2012-02-07,86.17
2012-02-08,86.28
2012-02-09,87.30
2012-02-10,87.30
2012-02-13,86.97
2012-02-14,87.10
2012-02-15,88.90
2012-02-16,90.22
2012-02-17,90.22
2012-02-21,89.83
2012-02-22,90.33
2012-02-23,89.60
2012-02-24,89.60
2012-02-27,88.65
2012-02-28,88.03
2012-02-29,89.42
2012-03-01,90.20
2012-03-02,90.20
2012-03-05,89.42
2012-03-06,86.78
2012-03-07,87.35
2012-03-08,87.75
2012-03-09,87.83
2012-03-12,87.30
2012-03-13,87.67
2012-03-14,87.40
2012-03-19,86.03
2012-03-20,84.95
2012-03-21,84.97
2012-03-26,84.88
2012-03-27,84.80
2012-03-28,83.78
2012-03-29,83.03
2012-03-30,83.03
2012-04-02,84.72
2012-04-03,84.03
2012-04-04,83.85
2012-04-05,83.85
2012-04-09,84.42
2012-04-10,83.80
2012-04-11,83.17
2012-04-12,83.53
2012-04-13,82.75
2012-04-16,82.30
2012-04-17,89.80
2012-04-18,87.25
2012-04-19,88.47
2012-04-20,87.50
2012-04-23,88.03
2012-04-24,86.60
2012-04-25,87.12
2012-04-26,86.80
2012-04-27,86.80
2012-04-30,83.67
2012-05-01,83.00
2012-05-02,81.28
2012-05-03,81.30
2012-05-04,81.30
2012-05-07,80.05
2012-05-08,80.25
2012-05-09,80.08
2012-05-10,80.08
2012-05-11,79.80
2012-05-14,79.35
2012-05-15,86.40
2012-05-16,86.50
2012-05-17,87.42
2012-05-18,87.42
2012-05-21,87.42
2012-05-22,85.83
2012-05-23,84.42
2012-05-24,84.20
2012-05-25,84.20
2012-05-29,86.35
2012-05-30,87.17
2012-05-31,89.80
2012-06-01,90.72
2012-06-04,91.20
2012-06-05,91.10
2012-06-06,91.95
2012-06-07,93.08
2012-06-08,93.08
2012-06-11,93.33
2012-06-12,93.53
2012-06-13,93.97
2012-06-14,94.75
2012-06-15,93.03
2012-06-18,95.45
2012-06-19,95.10
2012-06-20,94.75
2012-06-21,95.60
2012-06-22,94.92
2012-06-25,93.35
2012-06-26,93.65
2012-06-27,95.58
2012-06-28,96.72
2012-07-02,96.90
2012-07-03,96.88
2012-07-05,95.83
2012-07-06,96.22
2012-07-09,96.80
2012-07-10,95.53
2012-07-11,95.53
2012-07-12,97.30
2012-07-13,97.22
2012-07-16,97.08
2012-07-17,89.95
2012-07-18,92.62
2012-07-19,93.05
2012-07-20,93.70
2012-07-23,93.33
2012-07-24,92.92
2012-07-25,94.55
2012-07-26,95.80
2012-07-27,95.20
2012-07-30,94.55
2012-07-31,84.65
2012-08-01,93.20
