国家,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,马来西亚,加拿大,加拿大,加拿大,加拿大
指标名称,期货收盘价(活跃合约):菜籽粕,期货收盘价(连续):菜籽粕,期货收盘价(连三):菜籽粕,期货结算价(连续):菜籽粕,期货结算价(活跃合约):菜籽粕,期货成交量:菜籽粕,期货成交额:菜籽粕,期货成交量(活跃合约):菜籽粕,期货收盘价(活跃合约):油菜籽,期货收盘价(连续):油菜籽,期货收盘价(连三):油菜籽,期货结算价(连续):油菜籽,期货结算价(活跃合约):油菜籽,期货成交量:油菜籽,期货成交额:油菜籽,期货成交量(活跃合约):油菜籽,期货收盘价(活跃合约):菜籽油,期货收盘价(连续):菜籽油,期货结算价(连续):菜籽油,期货结算价(活跃合约):菜籽油,期货成交量:菜籽油(OI),期货成交额:菜籽油(OI),期货成交量(活跃合约):菜籽油,期货结算价(连续):BMD毛棕榈油,(停止)期货结算价(活跃合约):WCE油菜籽,(停止)期货收盘价(活跃合约):WCE油菜籽,(停止)期货结算价(连续):WCE油菜籽,(停止)期货收盘价(连续):WCE油菜籽
频率,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日
单位,元/吨,元/吨,元/吨,元/吨,元/吨,手,万元,手,元/吨,元/吨,元/吨,元/吨,元/吨,手,万元,手,元/吨,元/吨,元/吨,元/吨,手,万元,手,马来西亚林吉特/吨,加元/吨,加元/吨,加元/吨,加元/吨
指标ID,S0177552,S0177560,S0177561,S0177564,S0181369,M0086481,M0086482,M0096599,S0177551,S0177558,S0177559,S0177563,S0181395,M0086484,M0086485,M0096598,M0066365,S0031873,S0068132,S0181370,M0086460,M0086461,M0096593,S0069692,S0183924,S0183925,S0183926,S0183927
起始时间,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2012-12-28,2007-06-08,2007-06-08,2007-06-08,2007-06-08,2012-07-16,2012-07-16,2007-06-08,1995-03-16,2013-01-03,2013-01-03,2004-01-02,2004-01-02
结束时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-04-24,2019-04-23,2019-04-24,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-10,2014-03-10,2014-03-10,2014-03-10,2014-03-06
来源,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,郑州商品交易所,MDE,WCE,WCE,WCE,WCE
更新时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-04-24,2019-04-23,2019-04-24,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2016-05-21,2016-05-21,2014-03-11,2014-03-07
1995-03-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,488.00",0.00,0.00,0.00,0.00
1995-03-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,500.00",0.00,0.00,0.00,0.00
1995-03-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,490.00",0.00,0.00,0.00,0.00
1995-03-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,477.00",0.00,0.00,0.00,0.00
1995-03-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,442.00",0.00,0.00,0.00,0.00
1995-03-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,449.00",0.00,0.00,0.00,0.00
1995-03-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,427.00",0.00,0.00,0.00,0.00
1995-03-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,419.00",0.00,0.00,0.00,0.00
1995-03-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,419.00",0.00,0.00,0.00,0.00
1995-03-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,408.00",0.00,0.00,0.00,0.00
1995-03-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,413.00",0.00,0.00,0.00,0.00
1995-03-31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,408.00",0.00,0.00,0.00,0.00
1995-04-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,373.00",0.00,0.00,0.00,0.00
1995-04-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,323.00",0.00,0.00,0.00,0.00
