国家,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国,美国
指标名称,期货结算价(连续):豆油,期货收盘价(活跃合约):豆油,期货结算价(连续):黄大豆1号,期货收盘价(连续):豆油,期货结算价(活跃合约):豆油,期货成交额:豆油,期货成交量:豆油,期货成交额:黄大豆1号,期货成交量:黄大豆1号,期货结算价(连续):黄大豆2号,期货收盘价(活跃合约):黄大豆2号,期货收盘价(连续):黄大豆2号,期货结算价(活跃合约):黄大豆2号,期货成交额:黄大豆2号,期货成交量:黄大豆2号,期货结算价(连续):豆粕,期货收盘价(活跃合约):豆粕,期货收盘价(连续):豆粕,期货成交额:豆粕,期货成交量:豆粕,期货收盘价(连续):CBOT大豆,期货收盘价(连续):CBOT迷你大豆,期货收盘价(活跃合约):CBOT大豆,期货收盘价(活跃合约):CBOT迷你大豆,期货结算价(活跃合约):CBOT大豆,期货结算价(活跃合约):CBOT迷你大豆,期货收盘价(连续):CBOT豆油,期货收盘价(活跃合约):CBOT豆油,期货结算价(活跃合约):CBOT豆油,期货收盘价(连续):CBOT豆粕,期货收盘价(活跃合约):CBOT豆粕,期货结算价(活跃合约):CBOT豆粕,期货收盘价(连续):CBOT豆粉,期货收盘价(活跃合约):CBOT豆粉,期货结算价(活跃合约):CBOT豆粉
频率,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日
单位,元/吨,元/吨,元/吨,元/吨,元/吨,万元,手,万元,手,元/吨,元/吨,元/吨,元/吨,万元,手,元/吨,元/吨,元/吨,万元,手,美分/蒲式耳,美分/蒲式耳,美分/蒲式耳,美分/蒲式耳,美分/蒲式耳,美分/蒲式耳,美分/磅,美分/磅,美分/磅,美元/短吨,美元/短吨,美元/短吨,美分/蒲式耳,美分/蒲式耳,美分/蒲式耳
指标ID,S0068140,M0066354,S0068139,S0031864,S0181372,M0086434,M0086433,M0086425,M0086424,S0068128,M0066349,S0031867,S0181375,M0086449,M0086448,S0068126,M0066352,S0031865,M0086428,M0086427,S0069673,S0146994,S0180920,S0180929,S0180962,S0180971,S0069676,S0180891,S0180933,S0069675,S0180923,S0180965,S0146993,S0180890,S0180932
起始时间,2006-01-09,2006-01-09,1999-01-04,2006-01-09,2006-01-09,2006-01-09,2006-01-09,2000-05-08,1999-01-04,2004-12-22,2004-12-22,2004-12-22,2004-12-22,2004-12-22,2004-12-22,2000-07-17,2000-07-17,2000-07-17,2000-07-17,2000-07-17,1972-01-03,2009-09-15,2011-09-02,2011-09-02,2011-09-02,2011-09-02,1960-01-04,2011-01-04,2011-01-04,1976-01-22,2011-01-04,2011-01-04,2010-01-15,2010-01-15,2010-01-15
结束时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-10,2019-05-06,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2019-05-10,2011-09-09,2011-09-09,2011-09-09
来源,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT,CBOT
更新时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-11,2019-05-07,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2019-05-11,2011-09-10,2013-07-17,2013-07-17
1960-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
