国家,中国,中国,中国,中国,中国,中国
指标名称,期货结算价(活跃合约):鸡蛋,期货结算价(连续):鸡蛋,期货收盘价(活跃合约):鸡蛋,期货收盘价(连续):鸡蛋,期货成交额:鸡蛋,期货成交量:鸡蛋
频率,日,日,日,日,日,日
单位,元/500千克,元/500千克,元/500千克,元/500千克,万元,手
指标ID,S0200838,S0200840,S0200837,S0200839,S0200844,S0200843
起始时间,2013-11-08,2013-11-08,2013-11-08,2013-11-08,2013-11-08,2013-11-08
结束时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13
来源,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所,大连商品交易所
更新时间,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13,2019-05-13
2013-11-08,"4,010.00","3,896.00","3,976.00","3,868.00","1,423,215.60","350,712.00"
2013-11-11,"3,949.00","3,877.00","3,941.00","3,866.00","662,766.01","166,804.00"
2013-11-12,"3,957.00","3,870.00","3,951.00","3,868.00","458,848.61","114,240.00"
2013-11-13,"3,958.00","3,871.00","3,952.00","3,871.00","316,030.08","78,388.00"
2013-11-14,"3,952.00","3,864.00","3,957.00","3,858.00","194,159.40","48,194.00"
2013-11-15,"3,994.00","3,880.00","4,013.00","3,885.00","596,912.50","148,218.00"
2013-11-18,"4,025.00","3,892.00","4,029.00","3,896.00","488,357.28","120,366.00"
2013-11-19,"4,023.00","3,890.00","4,023.00","3,890.00","276,093.14","68,166.00"
2013-11-20,"4,036.00","3,900.00","4,036.00","3,910.00","263,339.13","64,854.00"
2013-11-21,"4,021.00","3,900.00","4,010.00","3,886.00","177,850.09","43,978.00"
2013-11-22,"4,024.00","3,895.00","4,018.00","3,899.00","172,116.78","42,632.00"
2013-11-25,"4,138.00","3,943.00","4,168.00","3,983.00","1,246,075.48","299,388.00"
2013-11-26,"4,161.00","3,974.00","4,162.00","3,975.00","660,551.91","158,180.00"
2013-11-27,"4,145.00","3,960.00","4,138.00","3,958.00","520,024.14","125,030.00"
2013-11-28,"4,168.00","3,977.00","4,174.00","3,981.00","814,920.45","195,074.00"
2013-11-29,"4,170.00","3,979.00","4,172.00","3,983.00","384,102.22","91,980.00"
2013-12-02,"4,168.00","3,976.00","4,162.00","3,969.00","256,468.67","61,338.00"
2013-12-03,"4,169.00","3,978.00","4,163.00","3,972.00","706,538.77","169,046.00"
2013-12-04,"4,160.00","3,966.00","4,153.00","3,962.00","285,158.89","68,392.00"
2013-12-05,"4,165.00","3,968.00","4,159.00","3,964.00","367,323.15","88,080.00"
2013-12-06,"4,143.00","3,948.00","4,131.00","3,953.00","402,008.22","96,776.00"
2013-12-09,"4,139.00","3,948.00","4,134.00","3,942.00","186,736.01","44,980.00"
2013-12-10,"4,163.00","3,970.00","4,155.00","3,954.00","604,175.85","144,898.00"
2013-12-11,"4,162.00","3,974.00","4,155.00","3,975.00","293,325.01","70,366.00"
2013-12-12,"4,160.00","3,960.00","4,153.00","3,958.00","249,345.78","59,686.00"
2013-12-13,"4,121.00","3,929.00","4,101.00","3,920.00","342,370.55","82,832.00"
2013-12-16,"4,099.00","3,909.00","4,088.00","3,914.00","231,192.05","56,250.00"
2013-12-17,"4,109.00","3,917.00","4,107.00","3,916.00","244,799.06","59,400.00"
2013-12-18,"4,106.00","3,919.00","4,098.00","3,910.00","171,882.01","41,770.00"
2013-12-19,"4,000.00","3,860.00","3,989.00","3,865.00","953,711.11","237,242.00"
2013-12-20,"3,982.00","3,859.00","3,982.00","3,861.00","348,395.85","87,104.00"
2013-12-23,"3,957.00","3,868.00","3,969.00","3,871.00","290,884.99","73,194.00"
2013-12-24,"3,982.00","3,886.00","3,982.00","3,890.00","234,951.65","58,882.00"
2013-12-25,"4,003.00","3,900.00","3,995.00","3,887.00","259,606.31","64,640.00"
2013-12-26,"3,973.00","3,892.00","3,973.00","3,891.00","277,148.39","69,608.00"
2013-12-27,"3,979.00","3,899.00","3,968.00","3,897.00","154,997.01","38,818.00"
2013-12-30,"3,988.00","3,909.00","3,984.00","3,930.00","197,930.69","49,470.00"
2013-12-31,"3,964.00","3,921.00","3,951.00","3,940.00","253,370.16","63,670.00"
2014-01-02,"3,966.00","3,937.00","3,975.00","3,943.00","132,743.26","33,338.00"
2014-01-03,"4,014.00","3,971.00","4,015.00","3,940.00","429,596.34","106,728.00"
2014-01-06,"3,990.00","3,961.00","3,943.00","3,941.00","320,674.75","80,118.00"
2014-01-07,"3,869.00","3,894.00","3,865.00","3,883.00","439,104.58","112,632.00"
2014-01-08,"3,857.00","3,875.00","3,857.00","3,880.00","191,548.95","49,382.00"
2014-01-09,"3,840.00","3,876.00","3,826.00","3,869.00","270,595.05","70,054.00"
2014-01-10,"3,831.00","3,876.00","3,832.00","3,885.00","159,344.58","41,338.00"
2014-01-13,"3,834.00","3,882.00","3,826.00","3,885.00","167,857.91","43,610.00"
2014-01-14,"3,849.00","3,891.00","3,865.00","3,889.00","169,182.82","43,692.00"
2014-01-15,"3,835.00","3,878.00","3,828.00","3,875.00","214,857.30","55,706.00"
2014-01-16,"3,785.00","3,842.00","3,770.00","3,825.00","357,063.00","93,854.00"
2014-01-17,"3,773.00","3,819.00","3,778.00","3,825.00","235,729.24","61,918.00"
2014-01-20,"3,791.00","3,795.00","3,781.00","3,780.00","209,212.53","54,624.00"
2014-01-21,"3,740.00","3,757.00","3,734.00","3,767.00","228,396.50","60,106.00"
2014-01-22,"3,696.00","3,712.00","3,696.00","3,735.00","465,636.81","124,494.00"
2014-01-23,"3,706.00","3,705.00","3,706.00","3,722.00","165,971.84","44,148.00"
2014-01-24,"3,702.00","3,679.00","3,703.00","3,660.00","187,703.81","50,006.00"
2014-01-27,"3,714.00","3,584.00","3,726.00","3,552.00","299,490.67","79,274.00"
2014-01-28,"3,742.00","3,549.00","3,729.00","3,541.00","467,630.79","120,682.00"
2014-01-29,"3,729.00","3,495.00","3,728.00","3,515.00","199,544.87","51,292.00"
2014-01-30,"3,740.00","3,436.00","3,741.00","3,438.00","152,976.21","38,372.00"
2014-02-07,"3,733.00","3,319.00","3,697.00","3,333.00","238,408.00","60,948.00"
