国家	中国	中国	中国	中国	中国	中国	中国	中国	中国	中国	中国	中国	中国	美国	美国	美国	美国	美国	美国	美国	美国	美国
指标名称	期货收盘价(活跃合约):优质强筋小麦	期货收盘价(连续):优质强筋小麦	期货结算价(连续):优质强筋小麦	期货结算价(活跃合约):优质强筋小麦	期货成交量:优质强筋小麦(WH)	期货成交额:优质强筋小麦(WH)	期货成交量(活跃合约):优质强筋小麦	期货收盘价(活跃合约):普麦	期货收盘价(连续):普麦	期货结算价(连续):普麦	期货结算价(活跃合约):普麦	期货成交量:普麦	期货成交额:普麦	期货收盘价(连续):CBOT小麦	期货收盘价(连续):CBOT迷你小麦	期货收盘价(活跃合约):CBOT小麦	期货收盘价(活跃合约):CBOT迷你小麦	期货结算价(活跃合约):CBOT小麦	期货结算价(活跃合约):CBOT迷你小麦	期货收盘价(连续):CBOT燕麦	期货收盘价(活跃合约):CBOT燕麦	期货结算价(活跃合约):CBOT燕麦
频率	日	日	日	日	日	日	日	日	日	日	日	日	日	日	日	日	日	日	日	日	日	日
单位	元/吨	元/吨	元/吨	元/吨	手	万元	手	元/吨	元/吨	元/吨	元/吨	手	万元	美分/蒲式耳	美分/蒲式耳	美分/蒲式耳	美分/蒲式耳	美分/蒲式耳	美分/蒲式耳	美分/蒲式耳	美分/蒲式耳	美分/蒲式耳
指标ID	M0066363	S0031880	S0068137	S0181394	M0086457	M0086458	M0096590	S0177548	S0177553	S0177562	S0181385	M0086487	M0086488	S0069677	S0146995	S0180927	S0180931	S0180969	S0180973	S0069678	S0180910	S0180952
起始时间	2003/3/28	2003/3/28	2003/3/28	2003/3/28	2012/7/24	2012/7/24	2003/3/28	2012/1/17	2012/1/17	2012/1/17	2012/1/17	2012/1/17	2012/1/17	1972/1/3	2009/9/15	2011/7/11	2012/2/2	2011/7/11	2012/2/2	1972/1/3	2011/9/2	2011/9/2
结束时间	2019/5/13	2019/5/7	2019/5/13	2019/5/13	2019/5/13	2019/5/13	2019/5/13	2019/5/13	2019/5/10	2019/5/13	2019/5/13	2019/5/13	2019/5/13	2019/5/10	2019/5/2	2019/5/10	2019/5/10	2019/5/10	2019/5/10	2019/5/9	2019/5/10	2019/5/10
来源	郑州商品交易所	郑州商品交易所	郑州商品交易所	郑州商品交易所	郑州商品交易所	郑州商品交易所	郑州商品交易所	郑州商品交易所	郑州商品交易所	郑州商品交易所	郑州商品交易所	郑州商品交易所	郑州商品交易所	CBOT	CBOT	CBOT	CBOT	CBOT	CBOT	CBOT	CBOT	CBOT
更新时间	2019/5/13	2019/5/7	2019/5/13	2019/5/13	2019/5/13	2019/5/13	2019/5/13	2019/5/13	2019/5/10	2019/5/13	2019/5/13	2019/5/13	2019/5/13	2019/5/11	2019/5/3	2019/5/11	2019/5/11	2019/5/11	2019/5/11	2019/5/10	2019/5/11	2019/5/11
1972/1/3	0	0	0	0	0	0	0	0	0	0	0	0	0	161.88	0	0	0	0	0	74.25	0	0
1972/1/4	0	0	0	0	0	0	0	0	0	0	0	0	0	161.62	0	0	0	0	0	73.62	0	0
1972/1/5	0	0	0	0	0	0	0	0	0	0	0	0	0	162.88	0	0	0	0	0	74.12	0	0
1972/1/6	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	74.5	0	0
1972/1/7	0	0	0	0	0	0	0	0	0	0	0	0	0	161.12	0	0	0	0	0	74.88	0	0
1972/1/10	0	0	0	0	0	0	0	0	0	0	0	0	0	161.75	0	0	0	0	0	73.75	0	0
1972/1/11	0	0	0	0	0	0	0	0	0	0	0	0	0	162.75	0	0	0	0	0	73.5	0	0
1972/1/12	0	0	0	0	0	0	0	0	0	0	0	0	0	162.88	0	0	0	0	0	73.12	0	0
1972/1/13	0	0	0	0	0	0	0	0	0	0	0	0	0	163.88	0	0	0	0	0	74.62	0	0
1972/1/14	0	0	0	0	0	0	0	0	0	0	0	0	0	167.5	0	0	0	0	0	76.25	0	0
1972/1/17	0	0	0	0	0	0	0	0	0	0	0	0	0	166.62	0	0	0	0	0	76.75	0	0
1972/1/18	0	0	0	0	0	0	0	0	0	0	0	0	0	165.75	0	0	0	0	0	75.88	0	0
1972/1/19	0	0	0	0	0	0	0	0	0	0	0	0	0	165.25	0	0	0	0	0	76	0	0
1972/1/20	0	0	0	0	0	0	0	0	0	0	0	0	0	166.12	0	0	0	0	0	76.75	0	0
1972/1/21	0	0	0	0	0	0	0	0	0	0	0	0	0	166.38	0	0	0	0	0	77.12	0	0
1972/1/24	0	0	0	0	0	0	0	0	0	0	0	0	0	165.12	0	0	0	0	0	76.38	0	0
1972/1/25	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	77.38	0	0
1972/1/26	0	0	0	0	0	0	0	0	0	0	0	0	0	166.12	0	0	0	0	0	76.5	0	0
1972/1/27	0	0	0	0	0	0	0	0	0	0	0	0	0	165.88	0	0	0	0	0	76.25	0	0
1972/1/28	0	0	0	0	0	0	0	0	0	0	0	0	0	166.75	0	0	0	0	0	76.38	0	0
1972/1/31	0	0	0	0	0	0	0	0	0	0	0	0	0	164.62	0	0	0	0	0	76.38	0	0
1972/2/1	0	0	0	0	0	0	0	0	0	0	0	0	0	159.12	0	0	0	0	0	75.25	0	0
1972/2/2	0	0	0	0	0	0	0	0	0	0	0	0	0	159.38	0	0	0	0	0	75.25	0	0
