Date,Matif
03/01/2000,125
04/01/2000,125.25
05/01/2000,125.25
06/01/2000,125.5
07/01/2000,125.25
10/01/2000,125
11/01/2000,126.5
12/01/2000,126.75
13/01/2000,127
14/01/2000,127.25
17/01/2000,127
18/01/2000,127
19/01/2000,127
20/01/2000,127.25
21/01/2000,127.25
24/01/2000,127
25/01/2000,127.5
26/01/2000,127.5
27/01/2000,127.5
28/01/2000,127.5
31/01/2000,127.5
01/02/2000,127.25
02/02/2000,127.5
03/02/2000,127
04/02/2000,127
07/02/2000,127
08/02/2000,126.75
09/02/2000,126.75
10/02/2000,126.5
11/02/2000,126.5
14/02/2000,125.5
15/02/2000,125.25
16/02/2000,125.5
17/02/2000,125.25
18/02/2000,125
21/02/2000,125.25
22/02/2000,125.5
23/02/2000,125.75
24/02/2000,125.5
25/02/2000,125.25
28/02/2000,125.5
29/02/2000,125.5
01/03/2000,126.25
02/03/2000,126.75
03/03/2000,126.75
06/03/2000,127
07/03/2000,127
08/03/2000,127.25
09/03/2000,127
10/03/2000,127
13/03/2000,128
14/03/2000,128.25
15/03/2000,128.5
16/03/2000,128.5
17/03/2000,128.5
20/03/2000,128.5
21/03/2000,128.5
22/03/2000,128.5
23/03/2000,128.75
24/03/2000,129
27/03/2000,129
28/03/2000,129.25
29/03/2000,129.5
30/03/2000,130
31/03/2000,130.25
03/04/2000,130.5
04/04/2000,131.25
05/04/2000,131.5
06/04/2000,131.75
07/04/2000,131.75
10/04/2000,131.75
11/04/2000,132.25
12/04/2000,132.25
13/04/2000,131.75
14/04/2000,131
17/04/2000,131
18/04/2000,131
19/04/2000,129.75
20/04/2000,129.75
25/04/2000,129.75
26/04/2000,130
27/04/2000,130.75
28/04/2000,130.5
02/05/2000,130
03/05/2000,130.5
04/05/2000,130.75
05/05/2000,129.75
08/05/2000,130
09/05/2000,129
10/05/2000,128.75
11/05/2000,116
12/05/2000,116.5
15/05/2000,116
16/05/2000,116
17/05/2000,116
18/05/2000,116.75
19/05/2000,116.5
22/05/2000,117
23/05/2000,117
24/05/2000,117
25/05/2000,117
26/05/2000,116.5
29/05/2000,116.5
30/05/2000,114.5
31/05/2000,114.5
01/06/2000,114.5
02/06/2000,114.5
05/06/2000,114.5
06/06/2000,114.5
07/06/2000,114
08/06/2000,113
09/06/2000,113.5
12/06/2000,113.5
13/06/2000,113.5
14/06/2000,113.5
15/06/2000,113
16/06/2000,113
19/06/2000,113
20/06/2000,113.25
21/06/2000,113.5
22/06/2000,114
23/06/2000,114.25
26/06/2000,114.5
27/06/2000,114.75
28/06/2000,114.75
29/06/2000,114.5
30/06/2000,114.5
03/07/2000,114
04/07/2000,112.5
05/07/2000,112.5
06/07/2000,112.75
07/07/2000,113
10/07/2000,112.5
11/07/2000,112.75
12/07/2000,112.5
13/07/2000,112
14/07/2000,112
17/07/2000,111.5
18/07/2000,111.25
19/07/2000,111
20/07/2000,111.75
21/07/2000,112.5
24/07/2000,112
25/07/2000,111
26/07/2000,111
27/07/2000,110
28/07/2000,110.25
31/07/2000,111
01/08/2000,111
02/08/2000,111.75
03/08/2000,111.75
04/08/2000,111.5
07/08/2000,111.5
08/08/2000,111.5
09/08/2000,111.5
10/08/2000,111.5
11/08/2000,111.75
14/08/2000,111.5
15/08/2000,111.5
16/08/2000,111.25
17/08/2000,111
18/08/2000,111.25
21/08/2000,111.25
22/08/2000,110.5
23/08/2000,110
24/08/2000,109.25
25/08/2000,111
28/08/2000,111
29/08/2000,111
30/08/2000,112.5
31/08/2000,111
01/09/2000,111
04/09/2000,111
05/09/2000,111
06/09/2000,111.25
07/09/2000,111.5
08/09/2000,112
11/09/2000,112.5
12/09/2000,112.75
13/09/2000,112.75
14/09/2000,112.5
15/09/2000,112.5
18/09/2000,112.75
19/09/2000,112.75
20/09/2000,112.75
21/09/2000,113
22/09/2000,113.5
25/09/2000,113.75
26/09/2000,113.25
27/09/2000,113
28/09/2000,112.75
29/09/2000,112.75
02/10/2000,112.75
03/10/2000,113
04/10/2000,113.25
05/10/2000,113.25
06/10/2000,113.5
09/10/2000,113.5
10/10/2000,114
11/10/2000,113.75
12/10/2000,113.75
13/10/2000,113.75
16/10/2000,114.25
17/10/2000,114
18/10/2000,113.75
19/10/2000,113.75
20/10/2000,113.5
23/10/2000,113.25
24/10/2000,112.75
25/10/2000,112.25
26/10/2000,112.25
27/10/2000,111
30/10/2000,111.25
31/10/2000,111
01/11/2000,111
02/11/2000,111
03/11/2000,111
06/11/2000,110.75
07/11/2000,111
08/11/2000,111
09/11/2000,111.25
10/11/2000,111.5
13/11/2000,113.25
14/11/2000,114.25
15/11/2000,115.25
16/11/2000,115.25
17/11/2000,115.25
20/11/2000,115
21/11/2000,115.25
22/11/2000,116
23/11/2000,116.5
24/11/2000,116.5
27/11/2000,116.75
28/11/2000,117
29/11/2000,117
30/11/2000,116.5
01/12/2000,116.5
04/12/2000,116.25
05/12/2000,116.25
06/12/2000,116.25
07/12/2000,116
08/12/2000,113.75
11/12/2000,114.25
12/12/2000,114.25
13/12/2000,115
14/12/2000,115.25
15/12/2000,115
18/12/2000,115
19/12/2000,115
20/12/2000,115.25
21/12/2000,115.25
22/12/2000,114.75
27/12/2000,114.75
28/12/2000,115
29/12/2000,115
02/01/2001,114.75
03/01/2001,114.5
04/01/2001,114.5
05/01/2001,114.5
08/01/2001,114.75
09/01/2001,115
10/01/2001,116.25
11/01/2001,117.5
12/01/2001,117.5
