Date,WRU1
01/01/2008,5700.00
02/01/2008,5700.00
09/01/2008,5700.00
16/01/2008,5700.00
18/01/2008,5950.00
23/01/2008,5950.00
25/01/2008,6100.00
30/01/2008,6100.00
01/02/2008,6475.00
06/02/2008,6475.00
08/02/2008,6700.00
13/02/2008,6700.00
15/02/2008,6975.00
18/02/2008,6975.00
20/02/2008,6975.00
22/02/2008,7225.00
27/02/2008,7225.00
29/02/2008,7675.00
05/03/2008,7675.00
07/03/2008,7875.00
12/03/2008,7875.00
14/03/2008,7975.00
19/03/2008,7975.00
21/03/2008,8125.00
26/03/2008,8125.00
28/03/2008,8325.00
02/04/2008,8325.00
04/04/2008,8475.00
09/04/2008,8475.00
11/04/2008,8500.00
16/04/2008,8500.00
18/04/2008,8500.00
23/04/2008,8500.00
25/04/2008,8450.00
30/04/2008,8450.00
06/05/2008,8300.00
07/05/2008,8300.00
12/05/2008,8100.00
14/05/2008,8100.00
16/05/2008,8075.00
21/05/2008,8075.00
23/05/2008,7950.00
28/05/2008,7950.00
30/05/2008,7675.00
04/06/2008,7675.00
06/06/2008,7425.00
11/06/2008,7425.00
16/06/2008,6950.00
18/06/2008,6950.00
20/06/2008,6775.00
25/06/2008,6775.00
27/06/2008,6575.00
02/07/2008,6575.00
04/07/2008,6325.00
09/07/2008,6325.00
14/07/2008,5800.00
16/07/2008,5800.00
18/07/2008,5225.00
23/07/2008,5225.00
25/07/2008,4900.00
30/07/2008,4900.00
01/08/2008,4200.00
06/08/2008,4200.00
08/08/2008,4000.00
13/08/2008,4000.00
15/08/2008,3725.00
20/08/2008,3725.00
22/08/2008,3650.00
27/08/2008,3650.00
29/08/2008,3600.00
03/09/2008,3600.00
08/09/2008,3625.00
10/09/2008,3625.00
12/09/2008,3650.00
17/09/2008,3650.00
19/09/2008,3625.00
24/09/2008,3625.00
29/09/2008,3600.00
01/10/2008,3600.00
03/10/2008,3525.00
08/10/2008,3525.00
10/10/2008,3425.00
15/10/2008,3425.00
17/10/2008,3300.00
22/10/2008,3300.00
24/10/2008,3150.00
29/10/2008,3150.00
31/10/2008,2950.00
05/11/2008,2950.00
07/11/2008,2875.00
12/11/2008,2875.00
14/11/2008,2725.00
19/11/2008,2725.00
21/11/2008,2575.00
26/11/2008,2575.00
28/11/2008,2550.00
03/12/2008,2550.00
05/12/2008,2575.00
10/12/2008,2575.00
12/12/2008,2575.00
17/12/2008,2575.00
19/12/2008,2625.00
24/12/2008,2625.00
26/12/2008,2625.00
31/12/2008,2625.00
07/01/2009,2625.00
14/01/2009,2625.00
16/01/2009,2700.00
21/01/2009,2700.00
23/01/2009,3275.00
28/01/2009,3275.00
30/01/2009,3600.00
04/02/2009,3600.00
06/02/2009,3825.00
11/02/2009,3825.00
13/02/2009,3875.00
18/02/2009,3875.00
20/02/2009,3700.00
25/02/2009,3700.00
27/02/2009,3625.00
04/03/2009,3625.00
06/03/2009,3550.00
11/03/2009,3550.00
13/03/2009,3550.00
18/03/2009,3550.00
20/03/2009,3450.00
25/03/2009,3450.00
27/03/2009,3350.00
01/04/2009,3350.00
03/04/2009,3275.00
08/04/2009,3275.00
10/04/2009,3225.00
15/04/2009,3225.00
17/04/2009,3100.00
22/04/2009,3100.00
24/04/2009,3125.00
29/04/2009,3125.00
01/05/2009,3325.00
06/05/2009,3325.00
08/05/2009,3525.00
13/05/2009,3525.00
15/05/2009,3650.00
20/05/2009,3650.00
22/05/2009,3750.00
27/05/2009,3750.00
29/05/2009,3825.00
03/06/2009,3825.00
05/06/2009,3825.00
10/06/2009,3825.00
12/06/2009,3825.00
17/06/2009,3825.00
19/06/2009,3775.00
24/06/2009,3775.00
26/06/2009,3725.00
01/07/2009,3725.00
03/07/2009,3675.00
08/07/2009,3675.00
10/07/2009,3325.00
15/07/2009,3325.00
17/07/2009,3200.00
22/07/2009,3200.00
24/07/2009,3000.00
29/07/2009,3000.00
31/07/2009,2900.00
05/08/2009,2900.00
07/08/2009,2900.00
12/08/2009,2900.00
14/08/2009,2775.00
19/08/2009,2775.00
21/08/2009,2725.00
26/08/2009,2725.00
28/08/2009,2700.00
02/09/2009,2700.00
04/09/2009,2575.00
09/09/2009,2575.00
11/09/2009,2550.00
16/09/2009,2550.00
18/09/2009,2500.00
23/09/2009,2500.00
25/09/2009,2375.00
30/09/2009,2375.00
02/10/2009,2375.00
07/10/2009,2375.00
09/10/2009,2375.00
14/10/2009,2375.00
16/10/2009,2450.00
21/10/2009,2450.00
23/10/2009,2550.00
28/10/2009,2550.00
30/10/2009,2625.00
04/11/2009,2625.00
06/11/2009,2775.00
11/11/2009,2775.00
13/11/2009,2875.00
18/11/2009,2875.00
20/11/2009,2875.00
25/11/2009,2875.00
27/11/2009,2875.00
02/12/2009,2875.00
04/12/2009,2900.00
09/12/2009,2900.00
11/12/2009,2975.00
16/12/2009,2975.00
18/12/2009,3075.00
23/12/2009,3075.00
25/12/2009,3125.00
30/12/2009,3125.00
06/01/2010,3125.00
13/01/2010,3125.00
15/01/2010,3125.00
20/01/2010,3125.00
22/01/2010,3150.00
27/01/2010,3150.00
29/01/2010,3250.00
03/02/2010,3250.00
05/02/2010,3225.00
10/02/2010,3225.00
12/02/2010,3125.00
17/02/2010,3125.00
19/02/2010,3125.00
24/02/2010,3125.00
26/02/2010,3025.00
03/03/2010,3025.00
05/03/2010,2975.00
10/03/2010,2975.00
12/03/2010,2950.00
17/03/2010,2950.00
19/03/2010,2900.00
24/03/2010,2900.00
26/03/2010,2875.00
31/03/2010,2875.00
02/04/2010,2875.00
07/04/2010,2875.00
09/04/2010,2875.00
14/04/2010,2875.00
16/04/2010,2875.00
21/04/2010,2875.00
23/04/2010,2875.00
28/04/2010,2875.00
30/04/2010,2875.00
05/05/2010,2875.00
07/05/2010,2875.00
12/05/2010,2875.00
14/05/2010,2975.00
19/05/2010,2975.00
21/05/2010,3000.00
26/05/2010,3000.00
28/05/2010,3050.00
02/06/2010,3050.00
04/06/2010,3075.00
09/06/2010,3075.00
11/06/2010,3150.00
16/06/2010,3150.00
18/06/2010,3150.00
23/06/2010,3150.00
25/06/2010,3150.00
30/06/2010,3150.00
02/07/2010,3100.00
07/07/2010,3100.00
09/07/2010,3225.00
14/07/2010,3225.00
16/07/2010,3500.00
21/07/2010,3500.00
23/07/2010,4450.00
28/07/2010,4450.00
30/07/2010,4975.00
04/08/2010,4975.00
06/08/2010,5425.00
11/08/2010,5425.00
13/08/2010,5300.00
18/08/2010,5300.00
20/08/2010,5050.00
25/08/2010,5050.00
27/08/2010,5100.00
01/09/2010,5100.00
03/09/2010,5150.00
08/09/2010,5150.00
10/09/2010,5175.00
15/09/2010,5175.00
17/09/2010,5275.00
22/09/2010,5275.00
29/09/2010,5275.00
01/10/2010,5350.00
06/10/2010,5350.00
