Date,BMF-LIVE CATTLE CONTINUOUS - SETT. PRICE - C /TE     BMYCS00      C,BMF-LIVE CATTLE CONTINUOUS AVG. - SETT. PRICE - C /TE     BMYCS05      C,BMF-LIVE CATTLE CONTINUOUS INDEX - SETT. PRICE - C /TE     BMYCS04      C,BMF-LIVE CATTLE CONTINUOUS LTDT - SETT. PRICE - C /TE     BMYCS01      C,BMF-LIVE CATTLE CONTINUOUS VOL - SETT. PRICE - C /TE     BMYCS03      C,BMF-LIVE CATTLE CONTINUOUS WVOL - SETT. PRICE - C /TE     BMYCS02      C,BMF-LIVE CATTLE TRc1 - SETT. PRICE - C /TE     BMYC.01      C,BMF-LIVE CATTLE TRc2 - SETT. PRICE - C /TE     BMYC.02      C,BMF-LIVE CATTLE TRc3 - SETT. PRICE - C /TE     BMYC.03      C,BMF-LIVE CATTLE TRc4 - SETT. PRICE - C /TE     BMYC.04      C,BMF-LIVE CATTLE TRc5 - SETT. PRICE - C /TE     BMYC.05      C,BMF-LIVE CATTLE TRc6 - SETT. PRICE - C /TE     BMYC.06      C,BMF-LIVE CATTLE TRc7 - SETT. PRICE - C /TE     BMYC.07      C,BMF-LIVE CATTLE TRc8 - SETT. PRICE - C /TE     BMYC.08      C,CME-FEEDER CATTLE COMP. CONT. AVG. - SETT. PRICE - UC/LB     CFDCS05      UC,CME-FEEDER CATTLE COMP. CONT. LTDT - SETT. PRICE - UC/LB     CFDCS01      UC,CME-FEEDER CATTLE COMP. CONT. VOL - SETT. PRICE - UC/LB     CFDCS03      UC,CME-FEEDER CATTLE COMP. CONT. WVOL - SETT. PRICE - UC/LB     CFDCS02      UC,CME-FEEDER CATTLE COMP. CONT.INDEX - SETT. PRICE - UC/LB     CFDCS04      UC,CME-FEEDER CATTLE COMP. CONTINUOUS - SETT. PRICE - UC/LB     CFDCS00      UC,CME-FEEDER CATTLE COMP. TRc1 - SETT. PRICE - UC/LB     CFDC.01      UC,CME-FEEDER CATTLE COMP. TRc2 - SETT. PRICE - UC/LB     CFDC.02      UC,CME-FEEDER CATTLE COMP. TRc3 - SETT. PRICE - UC/LB     CFDC.03      UC,CME-FEEDER CATTLE COMP. TRc4 - SETT. PRICE - UC/LB     CFDC.04      UC,CME-FEEDER CATTLE COMP. TRc5 - SETT. PRICE - UC/LB     CFDC.05      UC,CME-FEEDER CATTLE COMP. TRc6 - SETT. PRICE - UC/LB     CFDC.06      UC,CME-FEEDER CATTLE COMP. TRc7 - SETT. PRICE - UC/LB     CFDC.07      UC,CME-FEEDER CATTLE COMP. TRc8 - SETT. PRICE - UC/LB     CFDC.08      UC,CME-LIVE CATTLE COMP. C.2ND.FT - SETT. PRICE     CLDCS20      UC,CME-LIVE CATTLE COMP. C.2ND.LT - SETT. PRICE     CLDCS21      UC,CME-LIVE CATTLE COMP. C.3RD.FT - SETT. PRICE     CLDCS30      UC,CME-LIVE CATTLE COMP. C.3RD.LT - SETT. PRICE     CLDCS31      UC,CME-LIVE CATTLE COMP. C.4TH.FT - SETT. PRICE     CLDCS40      UC,CME-LIVE CATTLE COMP. C.4TH.LT - SETT. PRICE     CLDCS41      UC,CME-LIVE CATTLE COMP. C.5TH.FT - SETT. PRICE     CLDCS50      UC,CME-LIVE CATTLE COMP. C.5TH.LT - SETT. PRICE     CLDCS51      UC,CME-LIVE CATTLE COMP. C.6TH.FT - SETT. PRICE     CLDCS60      UC,CME-LIVE CATTLE COMP. C.6TH.LT - SETT. PRICE     CLDCS61      UC,CME-LIVE CATTLE COMP. C.7TH.LT - SETT. PRICE     CLDCS71      UC,CME-LIVE CATTLE COMP. CONT. AVG. - SETT. PRICE - UC/LB     CLDCS05      UC,CME-LIVE CATTLE COMP. CONT. LTDT - SETT. PRICE - UC/LB     CLDCS01      UC,CME-LIVE CATTLE COMP. CONT. VOL - SETT. PRICE - UC/LB     CLDCS03      UC,CME-LIVE CATTLE COMP. CONT. WVOL - SETT. PRICE - UC/LB     CLDCS02      UC,CME-LIVE CATTLE COMP. CONT.INDEX - SETT. PRICE - UC/LB     CLDCS04      UC,CME-LIVE CATTLE COMP. CONTINUOUS - SETT. PRICE - UC/LB     CLDCS00      UC,CME-LIVE CATTLE COMP. TRc1 - SETT. PRICE - UC/LB     CLDC.01      UC,CME-LIVE CATTLE COMP. TRc2 - SETT. PRICE - UC/LB     CLDC.02      UC,CME-LIVE CATTLE COMP. TRc3 - SETT. PRICE - UC/LB     CLDC.03      UC,CME-LIVE CATTLE COMP. TRc4 - SETT. PRICE - UC/LB     CLDC.04      UC,CME-LIVE CATTLE COMP. TRc5 - SETT. PRICE - UC/LB     CLDC.05      UC,CME-LIVE CATTLE COMP. TRc6 - SETT. PRICE - UC/LB     CLDC.06      UC,CME-LIVE CATTLE COMP. TRc7 - SETT. PRICE - UC/LB     CLDC.07      UC
30/07/2001,,,,,,,42.21,43.22,44.05,45.08,45.53,45.09,44.2,43.97,89.194,88.725,88.725,88.725,240.23,88.725,88.725,89.05,89.3,89.9,89.925,89.05,89,88.6,74,74,74.8,74.8,76.5,76.5,78,78,73.6,73.6,74,74.743,72.3,74,72.3,673.528,72.3,72.3,74,74.8,76.5,78,73.6,74
31/07/2001,,,,,,,42.21,43.15,44,45.05,45.5,44.95,44,43.86,89.178,88.725,88.725,88.725,240.23,88.725,88.725,89.05,89.3,89.9,89.95,88.95,88.95,88.6,73.9,73.9,74.625,74.625,76.4,76.4,77.95,77.95,73.575,73.575,74,74.618,71.875,73.9,71.875,669.569,71.875,71.875,73.9,74.625,76.4,77.95,73.575,74
01/08/2001,,,,,,,43.06,43.95,44.93,45.45,44.9,43.95,43.79,44.5,89.441,89.2,89.2,89.237,241.516,89.4,89.2,89.4,89.575,90.125,90.075,89.3,89.25,88.6,74.65,73.725,76.325,74.65,77.825,76.325,73.475,77.825,73.775,73.475,73.775,74.486,71.625,73.725,72.595,667.24,73.725,71.625,73.725,74.65,76.325,77.825,73.475,73.775
02/08/2001,,,,,,,43.16,44.15,45.12,45.6,45.17,44.15,44.05,44.55,89.234,88.925,88.925,88.947,240.771,89.075,88.925,89.075,89.2,89.9,89.925,89,89.25,88.6,74.55,73.575,76.275,74.55,77.925,76.275,73.475,77.925,73.8,73.475,73.8,74.464,71.65,73.575,72.794,667.473,73.575,71.65,73.575,74.55,76.275,77.925,73.475,73.8
03/08/2001,,,,,,,42.95,43.93,44.95,45.48,45.08,44.08,43.92,44.55,89.372,89.275,89.275,89.29,241.719,89.325,89.275,89.325,89.4,90.05,90.05,89.075,89.15,88.65,74.475,73.45,76.175,74.475,77.8,76.175,73.575,77.8,73.875,73.575,73.875,74.389,71.375,73.45,72.317,664.911,73.45,71.375,73.45,74.475,76.175,77.8,73.575,73.875
06/08/2001,43.8,44.43,100,42.89,43.8,43.54,42.89,43.8,44.85,45.5,45.02,44.07,43.91,44.55,89.141,88.85,88.85,88.877,240.568,89.025,88.85,89.025,89.175,89.775,89.875,88.85,88.925,88.65,74.3,73.225,75.925,74.3,77.65,75.925,73.35,77.65,73.65,73.35,73.65,74.157,71,73.225,72.165,661.417,73.225,71,73.225,74.3,75.925,77.65,73.35,73.65
07/08/2001,43.69,44.36,99.91,42.85,43.69,43.01,42.85,43.69,44.8,45.45,44.92,43.98,43.78,44.55,89.194,88.85,88.85,88.915,240.568,89.075,88.85,89.075,89.25,89.8,89.95,88.975,89,88.65,74.6,73.65,76.2,74.6,77.8,76.2,73.525,77.8,73.75,73.525,73.75,74.386,71.175,73.65,72.608,663.048,73.65,71.175,73.65,74.6,76.2,77.8,73.525,73.75
08/08/2001,43.66,44.31,99.56,42.7,43.66,42.97,42.7,43.66,44.88,45.45,44.95,43.88,43.69,44.35,89.2,88.75,88.75,88.807,240.297,89.075,88.75,89.075,89.25,90,89.975,89.1,89,88.45,74.775,74.1,76.35,74.775,77.925,76.35,73.55,77.925,73.75,73.55,73.75,74.568,71.525,74.1,72.998,666.308,74.1,71.525,74.1,74.775,76.35,77.925,73.55,73.75
09/08/2001,43.72,44.27,99.56,42.7,43.72,43.5,42.7,43.72,44.88,45.39,44.95,43.89,43.75,44.35,88.981,88.45,88.45,88.495,239.485,88.75,88.45,88.75,89.1,89.8,89.85,88.9,88.7,88.3,74.425,73.575,76,74.425,77.65,76,73.35,77.65,73.75,73.35,73.75,74.232,70.875,73.575,72.291,660.253,73.575,70.875,73.575,74.425,76,77.65,73.35,73.75
10/08/2001,43.56,44.11,99.35,42.61,43.56,42.8,42.61,43.56,44.71,45,44.65,43.67,43.55,44.35,89,88.425,88.425,88.52,239.417,88.875,88.425,88.875,89.05,89.675,89.925,88.9,88.9,88.25,74.8,73.95,76.425,74.8,78,76.425,73.625,78,73.95,73.625,73.95,74.525,70.925,73.95,72.522,660.719,73.95,70.925,73.95,74.8,76.425,78,73.625,73.95
13/08/2001,43.39,43.98,98.88,42.41,43.39,42.49,42.41,43.39,44.5,44.77,44.45,43.51,43.35,44.35,89.341,89,89,89.07,240.974,89.25,89,89.25,89.525,90.1,90.1,89.05,89.1,88.6,75.225,74.375,76.625,75.225,78,76.625,73.8,78,74.1,73.8,74.1,74.764,71.225,74.375,72.989,663.514,74.375,71.225,74.375,75.225,76.625,78,73.8,74.1
14/08/2001,43.47,44.03,98.74,42.35,43.47,42.52,42.35,43.47,44.62,44.9,44.51,43.6,43.48,44.35,89.437,89.375,89.375,89.38,241.99,89.4,89.375,89.4,89.6,90.175,90.2,89.1,89.05,88.6,74.975,73.975,76.5,74.975,78.05,76.5,73.85,78.05,74.2,73.85,74.2,74.653,71.025,73.975,72.596,661.65,73.975,71.025,73.975,74.975,76.5,78.05,73.85,74.2
